rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Algeria,DZA,59.5797,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Algeria,DZA,0.144193,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Algeria,DZA,4635220.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Algeria,DZA,94371.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Algeria,DZA,14.5559998,Percentage of females of the total population,2020.0
6,Environment,"Energy imports, net ",H6_Facial Coverings,Algeria,DZA,-177.1243579137855,percent of energy use,2014.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Algeria,DZA,4.97,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Algeria,DZA,0.095446,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Algeria,DZA,5.42,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Algeria,DZA,22.0,score,2021.0
11,Social issues ,Proportion of women in managerial positions (%),H6_Facial Coverings,Algeria,DZA,8.36,percent,2017.0
12,Environment,Combustible renewables and waste,H6_Facial Coverings,Algeria,DZA,0.0116,percent of total energy,2014.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Algeria,DZA,10.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Algeria,DZA,8.32168,per 100 people,2019.0
16,Economics,Volume of imports,H6_Facial Coverings,Algeria,DZA,-8.103,percent change,2020.0
18,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Algeria,DZA,77000000.0,kWh,2015.0
19,Social issues ,Net migration,H6_Facial Coverings,Algeria,DZA,-50002.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Algeria,DZA,4.1,percent,2018.0
21,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Algeria,DZA,1.3642763974,"proportion, pero 100,000 people",2015.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Algeria,DZA,21.2273126546239,percent of GNI,2017.0
23,Environment,Electricity production from oil sources,H6_Facial Coverings,Algeria,DZA,1.319805808308381,percent of total,2015.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Algeria,DZA,27.4,percent,2016.0
25,Environment,Energy use ,H6_Facial Coverings,Algeria,DZA,115.3104763282205,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
