rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Gabon,GAB,62.0,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Gabon,GAB,0.307428,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Gabon,GAB,21818.0,number,2019.0
4,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Gabon,GAB,56.8639984,Percentage of total employment,2020.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Gabon,GAB,9400.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Gabon,GAB,0.051243,percent,2019.0
7,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Gabon,GAB,43.8419991,Percentage of females of the total population,2020.0
8,Governance,Economic Freedom Score,H6_Facial Coverings,Gabon,GAB,5.86,score,2018.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Gabon,GAB,138.281,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Gabon,GAB,7.4,percent,2020.0
12,Governance,Personal Freedom Score ,H6_Facial Coverings,Gabon,GAB,6.42,score,2018.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Gabon,GAB,1.37306,per 100 people,2019.0
14,Social issues ,Net migration,H6_Facial Coverings,Gabon,GAB,16301.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Gabon,GAB,0.000861,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Gabon,GAB,64.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Gabon,GAB,0.6819,Ones,2017.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Gabon,GAB,0.00363,percent,2019.0
19,Environment,Combustible renewables and waste,H6_Facial Coverings,Gabon,GAB,73.66032,percent of total energy,2014.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Gabon,GAB,22.0,score,2021.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Gabon,GAB,53.0839996,Percentage of total population,2020.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Gabon,GAB,20.3596682611344,percent of GNI,2015.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Gabon,GAB,15.0,percent,2016.0
24,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Gabon,GAB,38.0,index ,2017.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Gabon,GAB,0.000147,percent,2019.0
