rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Gibraltar,GIB,94.4445,percent of population,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Gibraltar,GIB,16968.0,number,2019.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Gibraltar,GIB,120.284,per 100 people,2019.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Gibraltar,GIB,56.2891,per 100 people,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
19,Environment,Combustible renewables and waste,H6_Facial Coverings,Gibraltar,GIB,0.0,percent of total energy,2014.0
26,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Gibraltar,GIB,0.0,kWh,2015.0
34,Environment,Fossil fuel energy consumption,H6_Facial Coverings,Gibraltar,GIB,99.51282,percent of total,2014.0
35,Environment,Electricity production from coal sources ,H6_Facial Coverings,Gibraltar,GIB,0.0,percent of total,2015.0
37,Environment,Renewable energy consumption ,H6_Facial Coverings,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
40,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Gibraltar,GIB,100.0,percent of total,2015.0
42,Environment,CO2 emissions (kt),H6_Facial Coverings,Gibraltar,GIB,634.391,kt,2016.0
50,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
58,Demographics,Secure Internet servers ,H6_Facial Coverings,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
69,Environment,Electricity production from nuclear sources ,H6_Facial Coverings,Gibraltar,GIB,0.0,percent of total,2014.0
71,Environment,"Energy imports, net ",H6_Facial Coverings,Gibraltar,GIB,100.0,percent of energy use,2014.0
78,Environment,Access to electricity ,H6_Facial Coverings,Gibraltar,GIB,100.0,percent of population,2018.0
82,Environment,Electricity production from oil sources,H6_Facial Coverings,Gibraltar,GIB,100.0,percent of total,2015.0
92,Environment,Energy use (kg of oil equivalent per capita),H6_Facial Coverings,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
96,Environment,Electric power consumption ,H6_Facial Coverings,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
