rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Guinea-Bissau,GNB,3.93051,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Guinea-Bissau,GNB,0.26891,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Guinea-Bissau,GNB,0.0,number,2019.0
4,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Guinea-Bissau,GNB,25.1870003,Percentage of total employment,2020.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Guinea-Bissau,GNB,2447.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Guinea-Bissau,GNB,0.033807,percent,2019.0
7,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Guinea-Bissau,GNB,65.9110031,Percentage of females of the total population,2020.0
8,Governance,Economic Freedom Score,H6_Facial Coverings,Guinea-Bissau,GNB,5.46,score,2018.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Guinea-Bissau,GNB,82.7926,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Guinea-Bissau,GNB,3.4,percent,2020.0
12,Governance,Personal Freedom Score ,H6_Facial Coverings,Guinea-Bissau,GNB,6.84,score,2018.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Guinea-Bissau,GNB,0.0638756,per 100 people,2019.0
14,Social issues ,Net migration,H6_Facial Coverings,Guinea-Bissau,GNB,-6996.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Guinea-Bissau,GNB,0.000642,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Guinea-Bissau,GNB,44.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Guinea-Bissau,GNB,0.1274,Ones,2016.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Guinea-Bissau,GNB,0.002135,percent,2019.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Guinea-Bissau,GNB,44.0,score,2021.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Guinea-Bissau,GNB,71.9940033,Percentage of total population,2020.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Guinea-Bissau,GNB,-2.20239855154791,percent of GNI,2018.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Guinea-Bissau,GNB,9.5,percent,2016.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Guinea-Bissau,GNB,0.000217,percent,2019.0
28,Governance,Control of corruption estimate,H6_Facial Coverings,Guinea-Bissau,GNB,-1.453986,score,2019.0
29,Health,Summary exposure value tobacco,H6_Facial Coverings,Guinea-Bissau,GNB,13.76451,Rate (risk-weighted prevalence),2019.0
30,Governance,Fragile States Index Total ,H6_Facial Coverings,Guinea-Bissau,GNB,92.90207550854626,score,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Guinea-Bissau,GNB,0.6,percent,2018.0
33,Governance,Serious assault (rate),H6_Facial Coverings,Guinea-Bissau,GNB,112.21,rate,2016.0
36,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Guinea-Bissau,GNB,29.7747,micrograms per cubic meter,2017.0
37,Environment,Renewable energy consumption ,H6_Facial Coverings,Guinea-Bissau,GNB,86.8517939369185,percent of total final energy consumption,2015.0
38,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H6_Facial Coverings,Guinea-Bissau,GNB,28.0,percent,2020.0
39,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Guinea-Bissau,GNB,361.0,Cases,2019.0
42,Environment,CO2 emissions (kt),H6_Facial Coverings,Guinea-Bissau,GNB,293.36,kt,2016.0
43,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Guinea-Bissau,GNB,86.0,percent,2019.0
44,Economics,Volume of imports,H6_Facial Coverings,Guinea-Bissau,GNB,4.957,percent change,2020.0
46,Social issues ,Press freedom score,H6_Facial Coverings,Guinea-Bissau,GNB,32.06,score,2020.0
47,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Guinea-Bissau,GNB,0.6851,Ones,2018.0
48,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Guinea-Bissau,GNB,13.7254902,proportion,2020.0
49,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Guinea-Bissau,GNB,0.029601,percent,2019.0
50,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Guinea-Bissau,GNB,0.164584,metric tons per capita,2016.0
52,Governance,Human Development Index,H6_Facial Coverings,Guinea-Bissau,GNB,0.48,index,2019.0
53,Governance,Corruption Perceptions Index,H6_Facial Coverings,Guinea-Bissau,GNB,19.0,score,2020.0
55,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H6_Facial Coverings,Guinea-Bissau,GNB,100.0,percent of total,2017.0
56,Governance,Political stability and absence of violence/terrorism estimate,H6_Facial Coverings,Guinea-Bissau,GNB,-0.562632,score,2019.0
57,Governance,Voice and accountability estimate,H6_Facial Coverings,Guinea-Bissau,GNB,-0.4587073,score,2019.0
58,Demographics,Secure Internet servers ,H6_Facial Coverings,Guinea-Bissau,GNB,3.644083414110515,per 1 million people,2019.0
59,Health,"Immunization, DPT (% of children ages 12-23 months)",H6_Facial Coverings,Guinea-Bissau,GNB,84.0,percent,2019.0
60,Governance,Regulatory quality estimate,H6_Facial Coverings,Guinea-Bissau,GNB,-1.233335,score,2019.0
61,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Guinea-Bissau,GNB,17.0,score,2021.0
62,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Guinea-Bissau,GNB,1.1487047533,"proportion, pero 100,000 people",2017.0
64,Health,Prevalence of Diabetes,H6_Facial Coverings,Guinea-Bissau,GNB,0.020877,percent,2019.0
65,Health,"Prevalence of HIV, total (% of population ages 15-49)",H6_Facial Coverings,Guinea-Bissau,GNB,3.4,percent,2019.0
67,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Guinea-Bissau,GNB,27.0,score,2021.0
68,Governance,Human Freedom Score ,H6_Facial Coverings,Guinea-Bissau,GNB,6.15,score,2018.0
70,Economics,Volume of exports,H6_Facial Coverings,Guinea-Bissau,GNB,6.86,percent change,2020.0
73,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",H6_Facial Coverings,Guinea-Bissau,GNB,1.5,rating,2019.0
74,Governance,Government effectiveness estimate,H6_Facial Coverings,Guinea-Bissau,GNB,-1.514441,score,2019.0
75,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H6_Facial Coverings,Guinea-Bissau,GNB,2.48699999,percent of total labor force,2020.0
