rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Greece,GRC,75.6712,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Greece,GRC,0.123363,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Greece,GRC,5001510.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Greece,GRC,129584.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Greece,GRC,43.9070015,Percentage of females of the total population,2020.0
6,Environment,"Energy imports, net ",H6_Facial Coverings,Greece,GRC,64.17554663878474,percent of energy use,2015.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Greece,GRC,6.71,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Greece,GRC,0.146722,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Greece,GRC,8.04,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Greece,GRC,50.0,score,2021.0
11,Social issues ,Proportion of women in managerial positions (%),H6_Facial Coverings,Greece,GRC,27.48,percent,2018.0
12,Environment,Combustible renewables and waste,H6_Facial Coverings,Greece,GRC,5.164537,percent of total energy,2015.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Greece,GRC,37.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Greece,GRC,39.3195,per 100 people,2019.0
16,Economics,Volume of imports,H6_Facial Coverings,Greece,GRC,4.774,percent change,2020.0
18,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Greece,GRC,8752000000.0,kWh,2015.0
19,Social issues ,Net migration,H6_Facial Coverings,Greece,GRC,-80000.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Greece,GRC,4.0,percent,2018.0
21,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Greece,GRC,0.94086394499,"proportion, pero 100,000 people",2018.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Greece,GRC,-1.72419681743416,percent of GNI,2018.0
23,Environment,Electricity production from oil sources,H6_Facial Coverings,Greece,GRC,10.9277912855544,percent of total,2015.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Greece,GRC,24.9,percent,2016.0
25,Environment,Energy use ,H6_Facial Coverings,Greece,GRC,77.78831330115128,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
26,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Greece,GRC,34.4,index ,2017.0
27,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Greece,GRC,16.21827,micrograms per cubic meter,2017.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Greece,GRC,62434.34,kt,2016.0
29,Governance,Corruption Perceptions Index,H6_Facial Coverings,Greece,GRC,50.0,score,2020.0
30,Health,Prevalence of Diabetes,H6_Facial Coverings,Greece,GRC,0.094243,percent,2019.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Greece,GRC,17.170047546133,percent of total final energy consumption,2015.0
32,Environment,Electric power consumption ,H6_Facial Coverings,Greece,GRC,5062.606421552323,kWh per capita,2014.0
33,Social issues ,Life Ladder ,H6_Facial Coverings,Greece,GRC,5.722599983215332,score,2021.0
34,Governance,Fragile States Index Total ,H6_Facial Coverings,Greece,GRC,52.14869722028766,score,2020.0
35,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Greece,GRC,71.12809231600478,percent of total,2015.0
37,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Greece,GRC,0.063919,percent,2019.0
38,Governance,Human Freedom Score ,H6_Facial Coverings,Greece,GRC,7.38,score,2018.0
39,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Greece,GRC,73.1230011,Percentage of total employment,2020.0
40,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Greece,GRC,5.793848,metric tons per capita,2016.0
41,Governance,Control of corruption estimate,H6_Facial Coverings,Greece,GRC,-0.0118192,score,2019.0
42,Social issues ,Press freedom score,H6_Facial Coverings,Greece,GRC,28.8,score,2020.0
43,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Greece,GRC,3.6331,Ones,2017.0
44,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Greece,GRC,113.449,per 100 people,2019.0
45,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Greece,GRC,97.0,percent,2019.0
46,Health,Prevalence of down syndrome,H6_Facial Coverings,Greece,GRC,0.000582,percent,2019.0
47,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Greece,GRC,0.065221,percent,2019.0
48,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Greece,GRC,13.9,percent,2020.0
