rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Iceland,ISL,99.011,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Iceland,ISL,0.115837,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Iceland,ISL,125567.0,number,2019.0
4,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Iceland,ISL,80.064003,Percentage of total employment,2020.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Iceland,ISL,5604.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Iceland,ISL,0.035238,percent,2019.0
7,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Iceland,ISL,70.6110001,Percentage of females of the total population,2020.0
8,Governance,Economic Freedom Score,H6_Facial Coverings,Iceland,ISL,7.71,score,2018.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Iceland,ISL,121.949,per 100 people,2019.0
12,Governance,Personal Freedom Score ,H6_Facial Coverings,Iceland,ISL,9.06,score,2018.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Iceland,ISL,40.783,per 100 people,2019.0
14,Social issues ,Net migration,H6_Facial Coverings,Iceland,ISL,1900.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Iceland,ISL,0.0013,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Iceland,ISL,28.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Iceland,ISL,4.0778,Ones,2018.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Iceland,ISL,0.029362,percent,2019.0
19,Environment,Combustible renewables and waste,H6_Facial Coverings,Iceland,ISL,0.234285,percent of total energy,2015.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Iceland,ISL,94.0,score,2021.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Iceland,ISL,74.7509995,Percentage of total population,2020.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Iceland,ISL,10.9603888578802,percent of GNI,2018.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Iceland,ISL,21.9,percent,2016.0
24,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Iceland,ISL,26.8,index ,2015.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Iceland,ISL,0.000652,percent,2019.0
26,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Iceland,ISL,5014000000.0,kWh,2015.0
27,Social issues ,Life Ladder ,H6_Facial Coverings,Iceland,ISL,7.553899765014648,score,2021.0
28,Governance,Control of corruption estimate,H6_Facial Coverings,Iceland,ISL,1.707973,score,2019.0
29,Health,Summary exposure value tobacco,H6_Facial Coverings,Iceland,ISL,26.84943,Rate (risk-weighted prevalence),2019.0
30,Governance,Fragile States Index Total ,H6_Facial Coverings,Iceland,ISL,17.799999999999997,score,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Iceland,ISL,7.0,percent,2018.0
33,Governance,Serious assault (rate),H6_Facial Coverings,Iceland,ISL,36.23,rate,2018.0
