rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Cambodia,KHM,40.0,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Cambodia,KHM,0.346988,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Cambodia,KHM,56445.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Cambodia,KHM,362.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Cambodia,KHM,76.3119965,Percentage of females of the total population,2020.0
6,Environment,"Energy imports, net ",H6_Facial Coverings,Cambodia,KHM,33.11629750786791,percent of energy use,2014.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Cambodia,KHM,7.28,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Cambodia,KHM,0.081958,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Cambodia,KHM,6.38,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Cambodia,KHM,19.0,score,2021.0
12,Environment,Combustible renewables and waste,H6_Facial Coverings,Cambodia,KHM,55.24648,percent of total energy,2014.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Cambodia,KHM,5.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Cambodia,KHM,1.11836,per 100 people,2019.0
15,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",H6_Facial Coverings,Cambodia,KHM,7614.6,international $ in PPP,2020.0
16,Economics,Volume of imports,H6_Facial Coverings,Cambodia,KHM,8.345,percent change,2020.0
17,Social issues ,"Primary completion rate, total (% of relevant age group)",H6_Facial Coverings,Cambodia,KHM,91.0273666381836,proportion,2019.0
18,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Cambodia,KHM,41000000.0,kWh,2015.0
19,Social issues ,Net migration,H6_Facial Coverings,Cambodia,KHM,-149999.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Cambodia,KHM,1.3,percent,2018.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Cambodia,KHM,10.1308335453466,percent of GNI,2018.0
23,Environment,Electricity production from oil sources,H6_Facial Coverings,Cambodia,KHM,5.185353650216056,percent of total,2015.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Cambodia,KHM,3.9,percent,2016.0
25,Environment,Energy use ,H6_Facial Coverings,Cambodia,KHM,123.9012407817664,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
27,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Cambodia,KHM,25.61429,micrograms per cubic meter,2017.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Cambodia,KHM,9919.235,kt,2016.0
29,Governance,Corruption Perceptions Index,H6_Facial Coverings,Cambodia,KHM,21.0,score,2020.0
30,Health,Prevalence of Diabetes,H6_Facial Coverings,Cambodia,KHM,0.044443,percent,2019.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Cambodia,KHM,64.9237759106607,percent of total final energy consumption,2015.0
32,Environment,Electric power consumption ,H6_Facial Coverings,Cambodia,KHM,271.3672582341959,kWh per capita,2014.0
33,Social issues ,Life Ladder ,H6_Facial Coverings,Cambodia,KHM,4.830399990081787,score,2021.0
34,Governance,Fragile States Index Total ,H6_Facial Coverings,Cambodia,KHM,80.30838110384798,score,2020.0
35,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Cambodia,KHM,53.58198771889925,percent of total,2015.0
36,Health,Hospital beds (per 10 000 population),H6_Facial Coverings,Cambodia,KHM,9.0,Ones,2015.0
37,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Cambodia,KHM,0.046104,percent,2019.0
38,Governance,Human Freedom Score ,H6_Facial Coverings,Cambodia,KHM,6.83,score,2018.0
