rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Sri Lanka,LKA,34.1133,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Sri Lanka,LKA,0.326654,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Sri Lanka,LKA,2466260.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Sri Lanka,LKA,35387.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Sri Lanka,LKA,35.2939987,Percentage of females of the total population,2020.0
6,Environment,"Energy imports, net ",H6_Facial Coverings,Sri Lanka,LKA,50.26849245394205,percent of energy use,2014.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Sri Lanka,LKA,6.88,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Sri Lanka,LKA,0.134867,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Sri Lanka,LKA,6.56,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Sri Lanka,LKA,33.0,score,2021.0
11,Social issues ,Proportion of women in managerial positions (%),H6_Facial Coverings,Sri Lanka,LKA,27.58,percent,2017.0
12,Environment,Combustible renewables and waste,H6_Facial Coverings,Sri Lanka,LKA,45.23556,percent of total energy,2014.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Sri Lanka,LKA,23.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Sri Lanka,LKA,7.21059,per 100 people,2019.0
15,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",H6_Facial Coverings,Sri Lanka,LKA,32117.9,international $ in PPP,2020.0
16,Economics,Volume of imports,H6_Facial Coverings,Sri Lanka,LKA,3.834,percent change,2020.0
17,Social issues ,"Primary completion rate, total (% of relevant age group)",H6_Facial Coverings,Sri Lanka,LKA,102.390380859375,proportion,2017.0
18,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Sri Lanka,LKA,421000000.0,kWh,2015.0
19,Social issues ,Net migration,H6_Facial Coverings,Sri Lanka,LKA,-489932.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Sri Lanka,LKA,1.5,percent,2018.0
21,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Sri Lanka,LKA,2.4212436336,"proportion, pero 100,000 people",2018.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Sri Lanka,LKA,20.9691260316901,percent of GNI,2018.0
23,Environment,Electricity production from oil sources,H6_Facial Coverings,Sri Lanka,LKA,17.81975421028675,percent of total,2015.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Sri Lanka,LKA,5.2,percent,2016.0
