rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Lesotho,LSO,29.0,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Lesotho,LSO,0.324554,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Lesotho,LSO,8328.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Lesotho,LSO,2285.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Lesotho,LSO,60.0800018,Percentage of females of the total population,2020.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Lesotho,LSO,6.65,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Lesotho,LSO,0.055511,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Lesotho,LSO,6.55,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Lesotho,LSO,36.0,score,2021.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Lesotho,LSO,27.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Lesotho,LSO,0.273345,per 100 people,2019.0
16,Economics,Volume of imports,H6_Facial Coverings,Lesotho,LSO,-6.159,percent change,2020.0
19,Social issues ,Net migration,H6_Facial Coverings,Lesotho,LSO,-50234.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Lesotho,LSO,5.4,percent,2018.0
21,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Lesotho,LSO,43.56460456,"proportion, pero 100,000 people",2015.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Lesotho,LSO,6.75505886868767,percent of GNI,2018.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Lesotho,LSO,16.6,percent,2016.0
26,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Lesotho,LSO,44.9,index ,2017.0
27,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Lesotho,LSO,28.02865,micrograms per cubic meter,2017.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Lesotho,LSO,2511.895,kt,2016.0
29,Governance,Corruption Perceptions Index,H6_Facial Coverings,Lesotho,LSO,41.0,score,2020.0
30,Health,Prevalence of Diabetes,H6_Facial Coverings,Lesotho,LSO,0.037815,percent,2019.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Lesotho,LSO,52.139206087139,percent of total final energy consumption,2015.0
33,Social issues ,Life Ladder ,H6_Facial Coverings,Lesotho,LSO,3.5118000507354736,score,2021.0
34,Governance,Fragile States Index Total ,H6_Facial Coverings,Lesotho,LSO,78.29011539823739,score,2020.0
37,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Lesotho,LSO,0.036786,percent,2019.0
38,Governance,Human Freedom Score ,H6_Facial Coverings,Lesotho,LSO,6.6,score,2018.0
39,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Lesotho,LSO,49.6349983,Percentage of total employment,2020.0
40,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Lesotho,LSO,1.210551,metric tons per capita,2016.0
41,Governance,Control of corruption estimate,H6_Facial Coverings,Lesotho,LSO,-0.0273043,score,2019.0
42,Social issues ,Press freedom score,H6_Facial Coverings,Lesotho,LSO,30.45,score,2020.0
43,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Lesotho,LSO,3.2567,Ones,2018.0
44,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Lesotho,LSO,113.831,per 100 people,2019.0
45,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Lesotho,LSO,90.0,percent,2019.0
46,Health,Prevalence of down syndrome,H6_Facial Coverings,Lesotho,LSO,0.0003,percent,2019.0
47,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Lesotho,LSO,0.051684,percent,2019.0
48,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Lesotho,LSO,7.2,percent,2020.0
49,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H6_Facial Coverings,Lesotho,LSO,22.8309994,percent of total labor force,2020.0
51,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Lesotho,LSO,0.000425,percent,2019.0
52,Demographics,Secure Internet servers ,H6_Facial Coverings,Lesotho,LSO,63.05087170182772,per 1 million people,2019.0
