rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Moldova,MDA,76.1245,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Moldova,MDA,0.254663,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Moldova,MDA,1071510.0,number,2019.0
4,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Moldova,MDA,47.5349998,Percentage of total employment,2020.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Moldova,MDA,133360.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Moldova,MDA,0.04248,percent,2019.0
7,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Moldova,MDA,40.0180016,Percentage of females of the total population,2020.0
8,Governance,Economic Freedom Score,H6_Facial Coverings,Moldova,MDA,6.99,score,2018.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Moldova,MDA,89.3794,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Moldova,MDA,4.3,percent,2020.0
12,Governance,Personal Freedom Score ,H6_Facial Coverings,Moldova,MDA,7.37,score,2018.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Moldova,MDA,16.5839,per 100 people,2019.0
14,Social issues ,Net migration,H6_Facial Coverings,Moldova,MDA,-6935.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Moldova,MDA,0.001578,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Moldova,MDA,2700.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Moldova,MDA,3.2066,Ones,2017.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Moldova,MDA,0.013282,percent,2019.0
19,Environment,Combustible renewables and waste,H6_Facial Coverings,Moldova,MDA,8.329097,percent of total energy,2014.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Moldova,MDA,61.0,score,2021.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Moldova,MDA,42.7360001,Percentage of total population,2020.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Moldova,MDA,4.58910436524494,percent of GNI,2018.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Moldova,MDA,18.9,percent,2016.0
24,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Moldova,MDA,25.7,index ,2018.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Moldova,MDA,0.000196,percent,2019.0
26,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Moldova,MDA,19000000.0,kWh,2015.0
27,Social issues ,Life Ladder ,H6_Facial Coverings,Moldova,MDA,5.76639986038208,score,2021.0
28,Governance,Control of corruption estimate,H6_Facial Coverings,Moldova,MDA,-0.6186848,score,2019.0
29,Health,Summary exposure value tobacco,H6_Facial Coverings,Moldova,MDA,26.95885,Rate (risk-weighted prevalence),2019.0
30,Governance,Fragile States Index Total ,H6_Facial Coverings,Moldova,MDA,65.97954327737929,score,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Moldova,MDA,3.7,percent,2018.0
33,Governance,Serious assault (rate),H6_Facial Coverings,Moldova,MDA,5.08,rate,2018.0
34,Environment,Fossil fuel energy consumption,H6_Facial Coverings,Moldova,MDA,88.68802,percent of total,2014.0
35,Environment,Electricity production from coal sources ,H6_Facial Coverings,Moldova,MDA,0.0,percent of total,2015.0
