rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Mexico,MEX,70.0699,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Mexico,MEX,0.312243,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Mexico,MEX,22519700.0,number,2019.0
4,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Mexico,MEX,61.3730011,Percentage of total employment,2020.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Mexico,MEX,1289298.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Mexico,MEX,0.03872,percent,2019.0
7,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Mexico,MEX,44.2540016,Percentage of females of the total population,2020.0
8,Governance,Economic Freedom Score,H6_Facial Coverings,Mexico,MEX,7.21,score,2018.0
9,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",H6_Facial Coverings,Mexico,MEX,16.0160598754883,proportion,2018.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Mexico,MEX,95.1333,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Mexico,MEX,6.3,percent,2020.0
12,Governance,Personal Freedom Score ,H6_Facial Coverings,Mexico,MEX,6.49,score,2018.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Mexico,MEX,15.029,per 100 people,2019.0
14,Social issues ,Net migration,H6_Facial Coverings,Mexico,MEX,-300000.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Mexico,MEX,0.001286,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Mexico,MEX,116487.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Mexico,MEX,2.3827,Ones,2017.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Mexico,MEX,0.007573,percent,2019.0
19,Environment,Combustible renewables and waste,H6_Facial Coverings,Mexico,MEX,3.757445,percent of total energy,2015.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Mexico,MEX,61.0,score,2021.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Mexico,MEX,60.6599998,Percentage of total population,2020.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Mexico,MEX,6.60424393321858,percent of GNI,2018.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Mexico,MEX,28.9,percent,2016.0
24,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Mexico,MEX,45.4,index ,2018.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Mexico,MEX,0.000244,percent,2019.0
26,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Mexico,MEX,17082000000.0,kWh,2015.0
27,Social issues ,Life Ladder ,H6_Facial Coverings,Mexico,MEX,6.316800117492676,score,2021.0
28,Governance,Control of corruption estimate,H6_Facial Coverings,Mexico,MEX,-0.8210801,score,2019.0
29,Health,Summary exposure value tobacco,H6_Facial Coverings,Mexico,MEX,10.96058,Rate (risk-weighted prevalence),2019.0
30,Governance,Fragile States Index Total ,H6_Facial Coverings,Mexico,MEX,67.19999999999999,score,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Mexico,MEX,2.7,percent,2018.0
32,Social issues ,Proportion of people living below 50 percent of median income (%),H6_Facial Coverings,Mexico,MEX,15.3,proportion,2018.0
33,Governance,Serious assault (rate),H6_Facial Coverings,Mexico,MEX,37.08,rate,2018.0
34,Environment,Fossil fuel energy consumption,H6_Facial Coverings,Mexico,MEX,90.42621,percent of total,2015.0
35,Environment,Electricity production from coal sources ,H6_Facial Coverings,Mexico,MEX,10.86591801708567,percent of total,2015.0
36,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Mexico,MEX,20.92112,micrograms per cubic meter,2017.0
37,Environment,Renewable energy consumption ,H6_Facial Coverings,Mexico,MEX,9.2152134550018,percent of total final energy consumption,2015.0
38,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H6_Facial Coverings,Mexico,MEX,12.1,percent,2020.0
39,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Mexico,MEX,23.0,Cases,2019.0
40,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Mexico,MEX,80.87601000199268,percent of total,2015.0
41,Demographics,Urban population (% of total population),H6_Facial Coverings,Mexico,MEX,80.444,total,2019.0
42,Environment,CO2 emissions (kt),H6_Facial Coverings,Mexico,MEX,486405.5,kt,2016.0
43,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Mexico,MEX,73.0,percent,2019.0
44,Economics,Volume of imports,H6_Facial Coverings,Mexico,MEX,3.503,percent change,2020.0
45,Demographics,People using safely managed drinking water services (% of population),H6_Facial Coverings,Mexico,MEX,42.870309895754,proportion,2017.0
46,Social issues ,Press freedom score,H6_Facial Coverings,Mexico,MEX,45.45,score,2020.0
47,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Mexico,MEX,2.3961,Ones,2018.0
48,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Mexico,MEX,48.2,proportion,2020.0
49,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Mexico,MEX,0.038495,percent,2019.0
