rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Mauritius,MUS,63.9999,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Mauritius,MUS,0.317767,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Mauritius,MUS,434300.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Mauritius,MUS,524.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Mauritius,MUS,45.1290016,Percentage of females of the total population,2020.0
6,Environment,"Energy imports, net ",H6_Facial Coverings,Mauritius,MUS,84.5422889477177,percent of energy use,2014.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Mauritius,MUS,8.21,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Mauritius,MUS,0.180578,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Mauritius,MUS,6.89,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Mauritius,MUS,50.0,score,2021.0
11,Social issues ,Proportion of women in managerial positions (%),H6_Facial Coverings,Mauritius,MUS,32.14,percent,2018.0
12,Environment,Combustible renewables and waste,H6_Facial Coverings,Mauritius,MUS,5.095082,percent of total energy,2014.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Mauritius,MUS,37.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Mauritius,MUS,21.6385,per 100 people,2019.0
16,Economics,Volume of imports,H6_Facial Coverings,Mauritius,MUS,3.746,percent change,2020.0
18,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Mauritius,MUS,559000000.0,kWh,2015.0
19,Social issues ,Net migration,H6_Facial Coverings,Mauritius,MUS,0.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Mauritius,MUS,2.5,percent,2018.0
21,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Mauritius,MUS,2.9198600992,"proportion, pero 100,000 people",2018.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Mauritius,MUS,3.04519887841665,percent of GNI,2018.0
23,Environment,Electricity production from oil sources,H6_Facial Coverings,Mauritius,MUS,37.83783783783784,percent of total,2015.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Mauritius,MUS,10.8,percent,2016.0
25,Environment,Energy use ,H6_Facial Coverings,Mauritius,MUS,57.765550292607,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
26,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Mauritius,MUS,36.8,index ,2017.0
27,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Mauritius,MUS,14.45783,micrograms per cubic meter,2017.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Mauritius,MUS,4349.062,kt,2016.0
29,Governance,Corruption Perceptions Index,H6_Facial Coverings,Mauritius,MUS,53.0,score,2020.0
30,Health,Prevalence of Diabetes,H6_Facial Coverings,Mauritius,MUS,0.152737,percent,2019.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Mauritius,MUS,11.5373619624728,percent of total final energy consumption,2015.0
32,Environment,Electric power consumption ,H6_Facial Coverings,Mauritius,MUS,2182.509155911412,kWh per capita,2014.0
33,Social issues ,Life Ladder ,H6_Facial Coverings,Mauritius,MUS,6.048999786376953,score,2021.0
34,Governance,Fragile States Index Total ,H6_Facial Coverings,Mauritius,MUS,37.18472003299283,score,2020.0
35,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Mauritius,MUS,77.27727727727728,percent of total,2015.0
37,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Mauritius,MUS,0.043671,percent,2019.0
38,Governance,Human Freedom Score ,H6_Facial Coverings,Mauritius,MUS,7.55,score,2018.0
39,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Mauritius,MUS,69.0080032,Percentage of total employment,2020.0
40,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Mauritius,MUS,3.442149,metric tons per capita,2016.0
41,Governance,Control of corruption estimate,H6_Facial Coverings,Mauritius,MUS,0.317112,score,2019.0
42,Social issues ,Press freedom score,H6_Facial Coverings,Mauritius,MUS,28.0,score,2020.0
43,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Mauritius,MUS,3.5152,Ones,2017.0
44,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Mauritius,MUS,151.359,per 100 people,2019.0
45,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Mauritius,MUS,99.0,percent,2019.0
46,Health,Prevalence of down syndrome,H6_Facial Coverings,Mauritius,MUS,0.000122,percent,2019.0
47,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Mauritius,MUS,0.046287,percent,2019.0
48,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Mauritius,MUS,7.6,percent,2020.0
49,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H6_Facial Coverings,Mauritius,MUS,6.68900013,percent of total labor force,2020.0
50,Environment,Energy use (kg of oil equivalent per capita),H6_Facial Coverings,Mauritius,MUS,1111.422168011966,kg of oil equivalent per capita,2014.0
51,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Mauritius,MUS,0.00492,percent,2019.0
52,Demographics,Secure Internet servers ,H6_Facial Coverings,Mauritius,MUS,515.1254907320865,per 1 million people,2019.0
53,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Mauritius,MUS,2.5331,Ones,2018.0
54,Health,Prevalence of total cancers,H6_Facial Coverings,Mauritius,MUS,0.009881,percent,2019.0
55,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Mauritius,MUS,12.0,Cases,2019.0
56,Health,Summary exposure value tobacco,H6_Facial Coverings,Mauritius,MUS,20.56563,Rate (risk-weighted prevalence),2019.0
58,Governance,Regulatory quality estimate,H6_Facial Coverings,Mauritius,MUS,0.9965204,score,2019.0
59,Governance,Human Development Index,H6_Facial Coverings,Mauritius,MUS,0.804,index,2019.0
60,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Mauritius,MUS,20.0,proportion,2020.0
61,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H6_Facial Coverings,Mauritius,MUS,8.7,percent,2020.0
65,Governance,Government effectiveness estimate,H6_Facial Coverings,Mauritius,MUS,0.8711399,score,2019.0
68,Health,"Immunization, DPT (% of children ages 12-23 months)",H6_Facial Coverings,Mauritius,MUS,96.0,percent,2019.0
69,Health,Mortality due to COVID-19,H6_Facial Coverings,Mauritius,MUS,10.0,"Number (cumulative total by Dec 26,2020)",2020.0
71,Health,"Prevalence of HIV, total (% of population ages 15-49)",H6_Facial Coverings,Mauritius,MUS,1.2,percent,2019.0
72,Governance,Voice and accountability estimate,H6_Facial Coverings,Mauritius,MUS,0.8081411,score,2019.0
74,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H6_Facial Coverings,Mauritius,MUS,100.0,percent of total,2017.0
75,Environment,Fossil fuel energy consumption,H6_Facial Coverings,Mauritius,MUS,84.54236,percent of total,2014.0
76,Governance,Political stability and absence of violence/terrorism estimate,H6_Facial Coverings,Mauritius,MUS,0.8220398,score,2019.0
77,Economics,Volume of exports,H6_Facial Coverings,Mauritius,MUS,4.446,percent change,2020.0
79,Governance,Total freedom in the world score ,H6_Facial Coverings,Mauritius,MUS,87.0,score,2021.0
80,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Mauritius,MUS,58.132,Percentage of total population,2020.0
82,Governance,Rule of law estimate ,H6_Facial Coverings,Mauritius,MUS,0.7635766,score,2019.0
84,Environment,Access to electricity ,H6_Facial Coverings,Mauritius,MUS,97.4660034179688,percent of population,2018.0
90,Environment,Electricity production from coal sources ,H6_Facial Coverings,Mauritius,MUS,39.43943943943944,percent of total,2015.0
116,Environment,Electricity production from nuclear sources ,H6_Facial Coverings,Mauritius,MUS,0.0,percent of total,2014.0
