rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Malaysia,MYS,84.2132,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Malaysia,MYS,0.30909,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Malaysia,MYS,6474400.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Malaysia,MYS,90816.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Malaysia,MYS,50.8989983,Percentage of females of the total population,2020.0
6,Environment,"Energy imports, net ",H6_Facial Coverings,Malaysia,MYS,-5.505028940595212,percent of energy use,2014.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Malaysia,MYS,7.58,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Malaysia,MYS,0.105447,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Malaysia,MYS,6.21,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Malaysia,MYS,30.0,score,2021.0
11,Social issues ,Proportion of women in managerial positions (%),H6_Facial Coverings,Malaysia,MYS,24.65,percent,2018.0
12,Environment,Combustible renewables and waste,H6_Facial Coverings,Malaysia,MYS,1.32463,percent of total energy,2014.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Malaysia,MYS,21.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Malaysia,MYS,9.27863,per 100 people,2019.0
15,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",H6_Facial Coverings,Malaysia,MYS,62922.1,international $ in PPP,2020.0
16,Economics,Volume of imports,H6_Facial Coverings,Malaysia,MYS,4.042,percent change,2020.0
17,Social issues ,"Primary completion rate, total (% of relevant age group)",H6_Facial Coverings,Malaysia,MYS,99.4916000366211,proportion,2017.0
18,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Malaysia,MYS,1024000000.0,kWh,2015.0
19,Social issues ,Net migration,H6_Facial Coverings,Malaysia,MYS,249999.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Malaysia,MYS,1.9,percent,2018.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Malaysia,MYS,2.80734012502582,percent of GNI,2018.0
23,Environment,Electricity production from oil sources,H6_Facial Coverings,Malaysia,MYS,1.158383458897038,percent of total,2015.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Malaysia,MYS,15.6,percent,2016.0
25,Environment,Energy use ,H6_Facial Coverings,Malaysia,MYS,125.6346660808436,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
26,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Malaysia,MYS,41.0,index ,2015.0
27,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Malaysia,MYS,16.03581,micrograms per cubic meter,2017.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Malaysia,MYS,248288.9,kt,2016.0
29,Governance,Corruption Perceptions Index,H6_Facial Coverings,Malaysia,MYS,51.0,score,2020.0
30,Health,Prevalence of Diabetes,H6_Facial Coverings,Malaysia,MYS,0.062201,percent,2019.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Malaysia,MYS,5.19444258901529,percent of total final energy consumption,2015.0
32,Environment,Electric power consumption ,H6_Facial Coverings,Malaysia,MYS,4651.958734181598,kWh per capita,2014.0
33,Social issues ,Life Ladder ,H6_Facial Coverings,Malaysia,MYS,5.384300231933594,score,2021.0
34,Governance,Fragile States Index Total ,H6_Facial Coverings,Malaysia,MYS,57.561895525091394,score,2020.0
35,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Malaysia,MYS,90.04283154479992,percent of total,2015.0
36,Health,Hospital beds (per 10 000 population),H6_Facial Coverings,Malaysia,MYS,18.8,Ones,2017.0
37,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Malaysia,MYS,0.050227,percent,2019.0
