rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Pakistan,PAK,17.0709,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Pakistan,PAK,0.200208,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Pakistan,PAK,2461920.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Pakistan,PAK,451494.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Pakistan,PAK,22.1819992,Percentage of females of the total population,2020.0
6,Environment,"Energy imports, net ",H6_Facial Coverings,Pakistan,PAK,24.12316878268834,percent of energy use,2014.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Pakistan,PAK,6.07,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Pakistan,PAK,0.058717,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Pakistan,PAK,5.21,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Pakistan,PAK,22.0,score,2021.0
11,Social issues ,Proportion of women in managerial positions (%),H6_Facial Coverings,Pakistan,PAK,4.93,percent,2018.0
12,Environment,Combustible renewables and waste,H6_Facial Coverings,Pakistan,PAK,35.02253,percent of total energy,2014.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Pakistan,PAK,15.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Pakistan,PAK,0.81309,per 100 people,2019.0
15,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",H6_Facial Coverings,Pakistan,PAK,15257.6,international $ in PPP,2020.0
16,Economics,Volume of imports,H6_Facial Coverings,Pakistan,PAK,1.726,percent change,2020.0
17,Social issues ,"Primary completion rate, total (% of relevant age group)",H6_Facial Coverings,Pakistan,PAK,73.2653884887695,proportion,2019.0
18,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Pakistan,PAK,840000000.0,kWh,2015.0
19,Social issues ,Net migration,H6_Facial Coverings,Pakistan,PAK,-1166895.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Pakistan,PAK,1.1,percent,2018.0
21,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Pakistan,PAK,3.8830827302,"proportion, pero 100,000 people",2018.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Pakistan,PAK,3.97076610579771,percent of GNI,2018.0
23,Environment,Electricity production from oil sources,H6_Facial Coverings,Pakistan,PAK,37.22499346027909,percent of total,2015.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Pakistan,PAK,8.6,percent,2016.0
25,Environment,Energy use ,H6_Facial Coverings,Pakistan,PAK,110.3349006196365,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
26,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Pakistan,PAK,33.5,index ,2015.0
27,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Pakistan,PAK,58.28242,micrograms per cubic meter,2017.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Pakistan,PAK,201149.6,kt,2016.0
29,Governance,Corruption Perceptions Index,H6_Facial Coverings,Pakistan,PAK,31.0,score,2020.0
30,Health,Prevalence of Diabetes,H6_Facial Coverings,Pakistan,PAK,0.041796,percent,2019.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Pakistan,PAK,46.4763249199424,percent of total final energy consumption,2015.0
32,Environment,Electric power consumption ,H6_Facial Coverings,Pakistan,PAK,447.5010025891313,kWh per capita,2014.0
33,Social issues ,Life Ladder ,H6_Facial Coverings,Pakistan,PAK,4.934000015258789,score,2021.0
34,Governance,Fragile States Index Total ,H6_Facial Coverings,Pakistan,PAK,92.07809303255931,score,2020.0
35,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Pakistan,PAK,63.08710908254481,percent of total,2015.0
36,Health,Hospital beds (per 10 000 population),H6_Facial Coverings,Pakistan,PAK,6.3,Ones,2017.0
37,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Pakistan,PAK,0.031718,percent,2019.0
38,Governance,Human Freedom Score ,H6_Facial Coverings,Pakistan,PAK,5.64,score,2018.0
39,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Pakistan,PAK,38.3160019,Percentage of total employment,2020.0
40,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Pakistan,PAK,0.987832,metric tons per capita,2016.0
41,Governance,Control of corruption estimate,H6_Facial Coverings,Pakistan,PAK,-0.8467407,score,2019.0
42,Social issues ,Press freedom score,H6_Facial Coverings,Pakistan,PAK,45.52,score,2020.0
43,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Pakistan,PAK,0.6683,Ones,2018.0
44,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Pakistan,PAK,76.3769,per 100 people,2019.0
