rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Papua New Guinea,PNG,11.2092,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Papua New Guinea,PNG,0.433256,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Papua New Guinea,PNG,158000.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Papua New Guinea,PNG,760.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Papua New Guinea,PNG,46.0530014,Percentage of females of the total population,2020.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Papua New Guinea,PNG,6.39,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Papua New Guinea,PNG,0.063065,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Papua New Guinea,PNG,7.05,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Papua New Guinea,PNG,39.0,score,2021.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Papua New Guinea,PNG,23.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Papua New Guinea,PNG,0.21332,per 100 people,2019.0
15,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",H6_Facial Coverings,Papua New Guinea,PNG,13330.7,international $ in PPP,2020.0
16,Economics,Volume of imports,H6_Facial Coverings,Papua New Guinea,PNG,4.325,percent change,2020.0
17,Social issues ,"Primary completion rate, total (% of relevant age group)",H6_Facial Coverings,Papua New Guinea,PNG,77.1238479614258,proportion,2016.0
19,Social issues ,Net migration,H6_Facial Coverings,Papua New Guinea,PNG,-3999.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Papua New Guinea,PNG,1.7,percent,2018.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Papua New Guinea,PNG,21.3,percent,2016.0
27,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Papua New Guinea,PNG,12.29442,micrograms per cubic meter,2017.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Papua New Guinea,PNG,7535.685,kt,2016.0
29,Governance,Corruption Perceptions Index,H6_Facial Coverings,Papua New Guinea,PNG,27.0,score,2020.0
30,Health,Prevalence of Diabetes,H6_Facial Coverings,Papua New Guinea,PNG,0.071412,percent,2019.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Papua New Guinea,PNG,52.4986519522615,percent of total final energy consumption,2015.0
34,Governance,Fragile States Index Total ,H6_Facial Coverings,Papua New Guinea,PNG,82.29729048388526,score,2020.0
37,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Papua New Guinea,PNG,0.037914,percent,2019.0
38,Governance,Human Freedom Score ,H6_Facial Coverings,Papua New Guinea,PNG,6.72,score,2018.0
39,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Papua New Guinea,PNG,35.5480003,Percentage of total employment,2020.0
40,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Papua New Guinea,PNG,0.911013,metric tons per capita,2016.0
41,Governance,Control of corruption estimate,H6_Facial Coverings,Papua New Guinea,PNG,-0.9916382,score,2019.0
42,Social issues ,Press freedom score,H6_Facial Coverings,Papua New Guinea,PNG,23.93,score,2020.0
43,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Papua New Guinea,PNG,0.4548,Ones,2018.0
44,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Papua New Guinea,PNG,47.6177,per 100 people,2019.0
45,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Papua New Guinea,PNG,37.0,percent,2019.0
46,Health,Prevalence of down syndrome,H6_Facial Coverings,Papua New Guinea,PNG,0.000191,percent,2019.0
47,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Papua New Guinea,PNG,0.027019,percent,2019.0
48,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Papua New Guinea,PNG,8.9,percent,2020.0
49,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H6_Facial Coverings,Papua New Guinea,PNG,2.48699999,percent of total labor force,2020.0
