rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Senegal,SEN,46.0,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Senegal,SEN,0.240196,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Senegal,SEN,207592.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Senegal,SEN,17559.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Senegal,SEN,35.1030006,Percentage of females of the total population,2020.0
6,Environment,"Energy imports, net ",H6_Facial Coverings,Senegal,SEN,52.69248699066511,percent of energy use,2014.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Senegal,SEN,6.27,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Senegal,SEN,0.04214,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Senegal,SEN,7.05,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Senegal,SEN,42.0,score,2021.0
11,Social issues ,Proportion of women in managerial positions (%),H6_Facial Coverings,Senegal,SEN,23.16,percent,2015.0
12,Environment,Combustible renewables and waste,H6_Facial Coverings,Senegal,SEN,27.93987,percent of total energy,2014.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Senegal,SEN,29.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Senegal,SEN,0.933012,per 100 people,2019.0
16,Economics,Volume of imports,H6_Facial Coverings,Senegal,SEN,17.786,percent change,2020.0
18,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Senegal,SEN,70000000.0,kWh,2015.0
19,Social issues ,Net migration,H6_Facial Coverings,Senegal,SEN,-100001.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Senegal,SEN,0.9,percent,2018.0
21,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Senegal,SEN,0.26751815179,"proportion, pero 100,000 people",2015.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Senegal,SEN,12.5116043173186,percent of GNI,2018.0
23,Environment,Electricity production from oil sources,H6_Facial Coverings,Senegal,SEN,83.6156763590392,percent of total,2015.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Senegal,SEN,8.8,percent,2016.0
25,Environment,Energy use ,H6_Facial Coverings,Senegal,SEN,97.34297904876738,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
27,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Senegal,SEN,40.69583,micrograms per cubic meter,2017.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Senegal,SEN,10901.99,kt,2016.0
29,Governance,Corruption Perceptions Index,H6_Facial Coverings,Senegal,SEN,45.0,score,2020.0
30,Health,Prevalence of Diabetes,H6_Facial Coverings,Senegal,SEN,0.031612,percent,2019.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Senegal,SEN,42.7117516284132,percent of total final energy consumption,2015.0
32,Environment,Electric power consumption ,H6_Facial Coverings,Senegal,SEN,229.3517951063763,kWh per capita,2014.0
33,Social issues ,Life Ladder ,H6_Facial Coverings,Senegal,SEN,5.131800174713135,score,2021.0
34,Governance,Fragile States Index Total ,H6_Facial Coverings,Senegal,SEN,74.5646477541905,score,2020.0
35,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Senegal,SEN,87.78761061946902,percent of total,2015.0
37,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Senegal,SEN,0.027979,percent,2019.0
38,Governance,Human Freedom Score ,H6_Facial Coverings,Senegal,SEN,6.66,score,2018.0
39,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Senegal,SEN,56.9449997,Percentage of total employment,2020.0
40,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Senegal,SEN,0.727113,metric tons per capita,2016.0
41,Governance,Control of corruption estimate,H6_Facial Coverings,Senegal,SEN,0.0484844,score,2019.0
42,Social issues ,Press freedom score,H6_Facial Coverings,Senegal,SEN,23.99,score,2020.0
43,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Senegal,SEN,0.3127,Ones,2017.0
44,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Senegal,SEN,109.721,per 100 people,2019.0
