rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Singapore,SGP,88.9493,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Singapore,SGP,0.233578,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Singapore,SGP,1905800.0,number,2019.0
4,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Singapore,SGP,84.0930023,Percentage of total employment,2020.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Singapore,SGP,58386.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Singapore,SGP,0.024473,percent,2019.0
7,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Singapore,SGP,61.8139992,Percentage of females of the total population,2020.0
8,Governance,Economic Freedom Score,H6_Facial Coverings,Singapore,SGP,8.65,score,2018.0
9,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",H6_Facial Coverings,Singapore,SGP,31.5955905914307,proportion,2018.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Singapore,SGP,156.378,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Singapore,SGP,4.8,percent,2020.0
12,Governance,Personal Freedom Score ,H6_Facial Coverings,Singapore,SGP,7.77,score,2018.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Singapore,SGP,25.81,per 100 people,2019.0
14,Social issues ,Net migration,H6_Facial Coverings,Singapore,SGP,135142.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Singapore,SGP,0.001497,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Singapore,SGP,29.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Singapore,SGP,2.2936,Ones,2016.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Singapore,SGP,0.018786,percent,2019.0
19,Environment,Combustible renewables and waste,H6_Facial Coverings,Singapore,SGP,0.044713,percent of total energy,2014.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Singapore,SGP,48.0,score,2021.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Singapore,SGP,70.3840027,Percentage of total population,2020.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Singapore,SGP,34.7026850791648,percent of GNI,2018.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Singapore,SGP,6.1,percent,2016.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Singapore,SGP,0.000542,percent,2019.0
26,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Singapore,SGP,918000000.0,kWh,2015.0
27,Social issues ,Life Ladder ,H6_Facial Coverings,Singapore,SGP,6.376500129699707,score,2021.0
28,Governance,Control of corruption estimate,H6_Facial Coverings,Singapore,SGP,2.159477,score,2019.0
29,Health,Summary exposure value tobacco,H6_Facial Coverings,Singapore,SGP,14.78242,Rate (risk-weighted prevalence),2019.0
30,Governance,Fragile States Index Total ,H6_Facial Coverings,Singapore,SGP,26.3261946557654,score,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Singapore,SGP,2.2,percent,2018.0
33,Governance,Serious assault (rate),H6_Facial Coverings,Singapore,SGP,7.57,rate,2018.0
34,Environment,Fossil fuel energy consumption,H6_Facial Coverings,Singapore,SGP,90.57887,percent of total,2014.0
35,Environment,Electricity production from coal sources ,H6_Facial Coverings,Singapore,SGP,1.196072597441238,percent of total,2015.0
36,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Singapore,SGP,19.07826,micrograms per cubic meter,2017.0
37,Environment,Renewable energy consumption ,H6_Facial Coverings,Singapore,SGP,0.70863529719762,percent of total final energy consumption,2015.0
38,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H6_Facial Coverings,Singapore,SGP,2.8,percent,2020.0
39,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Singapore,SGP,41.0,Cases,2019.0
40,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Singapore,SGP,96.92353466230288,percent of total,2015.0
41,Demographics,Urban population (% of total population),H6_Facial Coverings,Singapore,SGP,100.0,total,2019.0
42,Environment,CO2 emissions (kt),H6_Facial Coverings,Singapore,SGP,37535.41,kt,2016.0
43,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Singapore,SGP,95.0,percent,2019.0
44,Economics,Volume of imports,H6_Facial Coverings,Singapore,SGP,4.296,percent change,2020.0
45,Demographics,People using safely managed drinking water services (% of population),H6_Facial Coverings,Singapore,SGP,100.0,proportion,2017.0
46,Social issues ,Press freedom score,H6_Facial Coverings,Singapore,SGP,55.23,score,2020.0
47,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Singapore,SGP,6.2432,Ones,2017.0
48,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Singapore,SGP,29.47368421,proportion,2020.0
49,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Singapore,SGP,0.030509,percent,2019.0
50,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Singapore,SGP,6.694046,metric tons per capita,2016.0
