rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Turkey,TUR,73.9767,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Turkey,TUR,0.233601,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Turkey,TUR,11532900.0,number,2019.0
4,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Turkey,TUR,55.9059982,Percentage of total employment,2020.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Turkey,TUR,1167752.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Turkey,TUR,0.045968,percent,2019.0
7,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Turkey,TUR,33.9339981,Percentage of females of the total population,2020.0
8,Governance,Economic Freedom Score,H6_Facial Coverings,Turkey,TUR,6.62,score,2018.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Turkey,TUR,96.8372,per 100 people,2019.0
12,Governance,Personal Freedom Score ,H6_Facial Coverings,Turkey,TUR,5.92,score,2018.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Turkey,TUR,17.0587,per 100 people,2019.0
14,Social issues ,Net migration,H6_Facial Coverings,Turkey,TUR,1419610.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Turkey,TUR,0.003368,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Turkey,TUR,17610.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Turkey,TUR,1.8492,Ones,2017.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Turkey,TUR,0.01005,percent,2019.0
19,Environment,Combustible renewables and waste,H6_Facial Coverings,Turkey,TUR,2.262969,percent of total energy,2015.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Turkey,TUR,32.0,score,2021.0
21,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Turkey,TUR,52.7179985,Percentage of total population,2020.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Turkey,TUR,12.1491291431677,percent of GNI,2018.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Turkey,TUR,32.1,percent,2016.0
24,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Turkey,TUR,41.9,index ,2018.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Turkey,TUR,0.000243,percent,2019.0
26,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Turkey,TUR,16511000000.0,kWh,2015.0
27,Social issues ,Life Ladder ,H6_Facial Coverings,Turkey,TUR,4.9475998878479,score,2021.0
28,Governance,Control of corruption estimate,H6_Facial Coverings,Turkey,TUR,-0.2909701,score,2019.0
29,Health,Summary exposure value tobacco,H6_Facial Coverings,Turkey,TUR,31.46364,Rate (risk-weighted prevalence),2019.0
30,Governance,Fragile States Index Total ,H6_Facial Coverings,Turkey,TUR,79.14739400388918,score,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Turkey,TUR,3.2,percent,2018.0
33,Governance,Serious assault (rate),H6_Facial Coverings,Turkey,TUR,102.82,rate,2014.0
34,Environment,Fossil fuel energy consumption,H6_Facial Coverings,Turkey,TUR,86.84319,percent of total,2015.0
35,Environment,Electricity production from coal sources ,H6_Facial Coverings,Turkey,TUR,29.0950902083023,percent of total,2015.0
36,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Turkey,TUR,44.31153,micrograms per cubic meter,2017.0
37,Environment,Renewable energy consumption ,H6_Facial Coverings,Turkey,TUR,13.3742300375217,percent of total final energy consumption,2015.0
39,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Turkey,TUR,16.0,Cases,2019.0
40,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Turkey,TUR,67.84588762448287,percent of total,2015.0
42,Environment,CO2 emissions (kt),H6_Facial Coverings,Turkey,TUR,372724.9,kt,2016.0
43,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Turkey,TUR,97.0,percent,2019.0
44,Economics,Volume of imports,H6_Facial Coverings,Turkey,TUR,7.8,percent change,2020.0
46,Social issues ,Press freedom score,H6_Facial Coverings,Turkey,TUR,50.02,score,2020.0
47,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Turkey,TUR,2.7107,Ones,2017.0
48,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Turkey,TUR,17.31748727,proportion,2020.0
49,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Turkey,TUR,0.05017,percent,2019.0
50,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Turkey,TUR,4.669467,metric tons per capita,2016.0
52,Governance,Human Development Index,H6_Facial Coverings,Turkey,TUR,0.82,index,2019.0
53,Governance,Corruption Perceptions Index,H6_Facial Coverings,Turkey,TUR,40.0,score,2020.0
