rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Zimbabwe,ZWE,27.0555,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Zimbabwe,ZWE,0.170386,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Zimbabwe,ZWE,265734.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Zimbabwe,ZWE,12047.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Zimbabwe,ZWE,78.177002,Percentage of females of the total population,2020.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Zimbabwe,ZWE,5.12,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Zimbabwe,ZWE,0.048831,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Zimbabwe,ZWE,6.06,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Zimbabwe,ZWE,17.0,score,2021.0
11,Social issues ,Proportion of women in managerial positions (%),H6_Facial Coverings,Zimbabwe,ZWE,28.87,percent,2014.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Zimbabwe,ZWE,11.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Zimbabwe,ZWE,1.39582,per 100 people,2019.0
18,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Zimbabwe,ZWE,129000000.0,kWh,2015.0
19,Social issues ,Net migration,H6_Facial Coverings,Zimbabwe,ZWE,-584288.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Zimbabwe,ZWE,1.3,percent,2018.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Zimbabwe,ZWE,-15.8246118874165,percent of GNI,2017.0
23,Environment,Electricity production from oil sources,H6_Facial Coverings,Zimbabwe,ZWE,0.4943866515604078,percent of total,2015.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Zimbabwe,ZWE,15.5,percent,2016.0
26,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Zimbabwe,ZWE,44.3,index ,2017.0
27,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Zimbabwe,ZWE,22.25167,micrograms per cubic meter,2017.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Zimbabwe,ZWE,10982.67,kt,2016.0
29,Governance,Corruption Perceptions Index,H6_Facial Coverings,Zimbabwe,ZWE,24.0,score,2020.0
30,Health,Prevalence of Diabetes,H6_Facial Coverings,Zimbabwe,ZWE,0.035042,percent,2019.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Zimbabwe,ZWE,81.797808552401,percent of total final energy consumption,2015.0
32,Environment,Electric power consumption ,H6_Facial Coverings,Zimbabwe,ZWE,609.1259520997071,kWh per capita,2014.0
33,Social issues ,Life Ladder ,H6_Facial Coverings,Zimbabwe,ZWE,3.1447999477386475,score,2021.0
34,Governance,Fragile States Index Total ,H6_Facial Coverings,Zimbabwe,ZWE,99.22085680550748,score,2020.0
35,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Zimbabwe,ZWE,47.275723555464,percent of total,2015.0
37,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Zimbabwe,ZWE,0.030712,percent,2019.0
38,Governance,Human Freedom Score ,H6_Facial Coverings,Zimbabwe,ZWE,5.59,score,2018.0
39,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Zimbabwe,ZWE,27.1860008,Percentage of total employment,2020.0
40,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Zimbabwe,ZWE,0.782777,metric tons per capita,2016.0
41,Governance,Control of corruption estimate,H6_Facial Coverings,Zimbabwe,ZWE,-1.238796,score,2019.0
42,Social issues ,Press freedom score,H6_Facial Coverings,Zimbabwe,ZWE,40.95,score,2020.0
43,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Zimbabwe,ZWE,1.9346,Ones,2018.0
44,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Zimbabwe,ZWE,90.1023,per 100 people,2019.0
45,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Zimbabwe,ZWE,85.0,percent,2019.0
46,Health,Prevalence of down syndrome,H6_Facial Coverings,Zimbabwe,ZWE,0.000307,percent,2019.0
47,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Zimbabwe,ZWE,0.0276,percent,2019.0
48,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Zimbabwe,ZWE,3.6,percent,2020.0
49,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H6_Facial Coverings,Zimbabwe,ZWE,4.99100018,percent of total labor force,2020.0
51,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Zimbabwe,ZWE,0.000244,percent,2019.0
52,Demographics,Secure Internet servers ,H6_Facial Coverings,Zimbabwe,ZWE,67.66598377054254,per 1 million people,2019.0
53,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Zimbabwe,ZWE,0.2096,Ones,2018.0
54,Health,Prevalence of total cancers,H6_Facial Coverings,Zimbabwe,ZWE,0.003576,percent,2019.0
55,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Zimbabwe,ZWE,199.0,Cases,2019.0
56,Health,Summary exposure value tobacco,H6_Facial Coverings,Zimbabwe,ZWE,19.56836,Rate (risk-weighted prevalence),2019.0
58,Governance,Regulatory quality estimate,H6_Facial Coverings,Zimbabwe,ZWE,-1.463199,score,2019.0
59,Governance,Human Development Index,H6_Facial Coverings,Zimbabwe,ZWE,0.571,index,2019.0
60,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Zimbabwe,ZWE,31.85185185,proportion,2020.0
61,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H6_Facial Coverings,Zimbabwe,ZWE,23.0,percent,2020.0
65,Governance,Government effectiveness estimate,H6_Facial Coverings,Zimbabwe,ZWE,-1.205337,score,2019.0
68,Health,"Immunization, DPT (% of children ages 12-23 months)",H6_Facial Coverings,Zimbabwe,ZWE,90.0,percent,2019.0
69,Health,Mortality due to COVID-19,H6_Facial Coverings,Zimbabwe,ZWE,316.0,"Number (cumulative total by Dec 26,2020)",2020.0
71,Health,"Prevalence of HIV, total (% of population ages 15-49)",H6_Facial Coverings,Zimbabwe,ZWE,12.8,percent,2019.0
72,Governance,Voice and accountability estimate,H6_Facial Coverings,Zimbabwe,ZWE,-1.141875,score,2019.0
74,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H6_Facial Coverings,Zimbabwe,ZWE,100.0,percent of total,2017.0
76,Governance,Political stability and absence of violence/terrorism estimate,H6_Facial Coverings,Zimbabwe,ZWE,-0.9201785,score,2019.0
79,Governance,Total freedom in the world score ,H6_Facial Coverings,Zimbabwe,ZWE,28.0,score,2021.0
80,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Zimbabwe,ZWE,83.1220016,Percentage of total population,2020.0
82,Governance,Rule of law estimate ,H6_Facial Coverings,Zimbabwe,ZWE,-1.257009,score,2019.0
83,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",H6_Facial Coverings,Zimbabwe,ZWE,2.5,rating,2019.0
84,Environment,Access to electricity ,H6_Facial Coverings,Zimbabwe,ZWE,41.0415840148926,percent of population,2018.0
90,Environment,Electricity production from coal sources ,H6_Facial Coverings,Zimbabwe,ZWE,46.78133690390359,percent of total,2015.0
116,Environment,Electricity production from nuclear sources ,H6_Facial Coverings,Zimbabwe,ZWE,0.0,percent of total,2014.0
