rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Azerbaijan,AZE,79.8,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Azerbaijan,AZE,30.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Azerbaijan,AZE,195422.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",H7_Vaccination policy,Azerbaijan,AZE,1503918000.0,US Dollar,2019.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Azerbaijan,AZE,368.8399390301695,per 1 million people,2019.0
6,Governance,Serious assault (rate),H7_Vaccination policy,Azerbaijan,AZE,3.06,rate,2018.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Azerbaijan,AZE,58.48,score,2020.0
8,Environment,CO2 emissions (kt),H7_Vaccination policy,Azerbaijan,AZE,37619.75,kt,2016.0
9,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Azerbaijan,AZE,1673210.0,number,2019.0
10,Environment,Electric power consumption ,H7_Vaccination policy,Azerbaijan,AZE,2202.393918288459,kWh per capita,2014.0
11,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Azerbaijan,AZE,49.5330009,Percentage of total employment,2020.0
12,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Azerbaijan,AZE,19.3379,per 100 people,2019.0
13,Economics,Volume of imports,H7_Vaccination policy,Azerbaijan,AZE,2.024,percent change,2020.0
14,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Azerbaijan,AZE,0.2706,percent,2019.0
15,Governance,Political stability and absence of violence/terrorism estimate,H7_Vaccination policy,Azerbaijan,AZE,-0.681131,score,2019.0
16,Environment,Renewable energy consumption ,H7_Vaccination policy,Azerbaijan,AZE,2.31075768577815,percent of total final energy consumption,2015.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Azerbaijan,AZE,60.0,Cases,2019.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Azerbaijan,AZE,0.9,percent,2018.0
19,Health,"Physicians (per 1,000 people)",H7_Vaccination policy,Azerbaijan,AZE,3.446,Ones,2014.0
20,Health,Summary exposure value tobacco,H7_Vaccination policy,Azerbaijan,AZE,34.84882,Rate (risk-weighted prevalence),2019.0
21,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Azerbaijan,AZE,0.027525,percent,2019.0
22,Governance,Rule of law estimate ,H7_Vaccination policy,Azerbaijan,AZE,-0.5772703,score,2019.0
23,Environment,Electricity production from oil sources,H7_Vaccination policy,Azerbaijan,AZE,6.509235255994815,percent of total,2015.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Azerbaijan,AZE,5.96000004,percent of total labor force,2020.0
