rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Belgium,BEL,90.3705,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Belgium,BEL,76.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Belgium,BEL,621039.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Belgium,BEL,19663.96016041372,per 1 million people,2019.0
6,Governance,Serious assault (rate),H7_Vaccination policy,Belgium,BEL,549.91,rate,2018.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Belgium,BEL,12.57,score,2020.0
8,Environment,Electricity production from oil sources,H7_Vaccination policy,Belgium,BEL,0.3005118766894807,percent of total,2015.0
9,Health,Prevalence of total cancers,H7_Vaccination policy,Belgium,BEL,0.035949,percent,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Belgium,BEL,3930410.0,number,2019.0
11,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Belgium,BEL,7.8,percent,2018.0
12,Social issues ,Life Ladder ,H7_Vaccination policy,Belgium,BEL,6.834000110626221,score,2021.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Belgium,BEL,8.9,Cases,2019.0
14,Environment,Renewable energy consumption ,H7_Vaccination policy,Belgium,BEL,9.20164053078148,percent of total final energy consumption,2015.0
15,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Belgium,BEL,0.120211,percent,2019.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Belgium,BEL,78.4169998,Percentage of total employment,2020.0
17,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Belgium,BEL,12.88652,micrograms per cubic meter,2017.0
18,Health,Prevalence of Diabetes,H7_Vaccination policy,Belgium,BEL,0.083193,percent,2019.0
19,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Belgium,BEL,39.7831,per 100 people,2019.0
20,Environment,CO2 emissions (kt),H7_Vaccination policy,Belgium,BEL,96889.47,kt,2016.0
21,Health,Summary exposure value tobacco,H7_Vaccination policy,Belgium,BEL,26.69697,Rate (risk-weighted prevalence),2019.0
22,Economics,Volume of exports,H7_Vaccination policy,Belgium,BEL,2.93,percent change,2020.0
23,Social issues ,Net migration,H7_Vaccination policy,Belgium,BEL,240000.0,net total / data are 5 year estimates,2019.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Belgium,BEL,5.69199991,percent of total labor force,2020.0
25,Environment,"Energy imports, net ",H7_Vaccination policy,Belgium,BEL,80.09179196696829,percent of energy use,2015.0
26,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Belgium,BEL,0.055711,percent,2019.0
27,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Belgium,BEL,48.5340004,Percentage of females of the total population,2020.0
28,Governance,Economic Freedom Score,H7_Vaccination policy,Belgium,BEL,7.56,score,2018.0
29,Demographics,Mobile cellular subscriptions,H7_Vaccination policy,Belgium,BEL,99.7421,per 100 people,2019.0
31,Environment,Electricity production from coal sources ,H7_Vaccination policy,Belgium,BEL,6.108011732903893,percent of total,2015.0
32,Health,Prevalence of chronic kidney disease,H7_Vaccination policy,Belgium,BEL,0.10999,percent,2019.0
33,Health,Mortality due to COVID-19,H7_Vaccination policy,Belgium,BEL,18455.0,"Number (cumulative total by Dec 26,2020)",2020.0
34,Social issues ,Proportion of women in managerial positions (%),H7_Vaccination policy,Belgium,BEL,33.91,percent,2018.0
35,Environment,"Adjusted net savings, including particulate emission damage",H7_Vaccination policy,Belgium,BEL,11.0770980315883,percent of GNI,2018.0
36,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,Belgium,BEL,39.0,score,2021.0
37,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H7_Vaccination policy,Belgium,BEL,5.1,percent,2020.0
38,Health,Prevalence of down syndrome,H7_Vaccination policy,Belgium,BEL,0.00053,percent,2019.0
42,Economics,Volume of imports,H7_Vaccination policy,Belgium,BEL,3.1,percent change,2020.0
