rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Brunei,BRN,95.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Brunei,BRN,60.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Brunei,BRN,152.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",H7_Vaccination policy,Brunei,BRN,373256770.0,US Dollar,2019.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Brunei,BRN,10720.42650911063,per 1 million people,2019.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Brunei,BRN,49.65,score,2020.0
8,Environment,CO2 emissions (kt),H7_Vaccination policy,Brunei,BRN,7664.03,kt,2016.0
9,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Brunei,BRN,86590.0,number,2019.0
10,Environment,Electric power consumption ,H7_Vaccination policy,Brunei,BRN,10291.1640460845,kWh per capita,2014.0
11,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Brunei,BRN,82.8290024,Percentage of total employment,2020.0
12,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Brunei,BRN,12.5079,per 100 people,2019.0
13,Economics,Volume of imports,H7_Vaccination policy,Brunei,BRN,44.567,percent change,2020.0
14,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Brunei,BRN,0.313411,percent,2019.0
15,Governance,Political stability and absence of violence/terrorism estimate,H7_Vaccination policy,Brunei,BRN,1.172246,score,2019.0
16,Environment,Renewable energy consumption ,H7_Vaccination policy,Brunei,BRN,0.0149350358914578,percent of total final energy consumption,2015.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Brunei,BRN,64.0,Cases,2019.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Brunei,BRN,2.3,percent,2018.0
19,Health,"Physicians (per 1,000 people)",H7_Vaccination policy,Brunei,BRN,1.609,Ones,2017.0
20,Health,Summary exposure value tobacco,H7_Vaccination policy,Brunei,BRN,23.05778,Rate (risk-weighted prevalence),2019.0
21,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Brunei,BRN,0.032517,percent,2019.0
22,Governance,Rule of law estimate ,H7_Vaccination policy,Brunei,BRN,0.6142667,score,2019.0
23,Environment,Electricity production from oil sources,H7_Vaccination policy,Brunei,BRN,1.0,percent of total,2015.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Brunei,BRN,9.04399967,percent of total labor force,2020.0
25,Environment,Fossil fuel energy consumption,H7_Vaccination policy,Brunei,BRN,99.99519,percent of total,2014.0
26,Social issues ,Net migration,H7_Vaccination policy,Brunei,BRN,0.0,net total / data are 5 year estimates,2019.0
27,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Brunei,BRN,64.4089966,Percentage of total population,2020.0
28,Health,Prevalence of total cancers,H7_Vaccination policy,Brunei,BRN,0.011454,percent,2019.0
29,Governance,Total freedom in the world score ,H7_Vaccination policy,Brunei,BRN,28.0,score,2021.0
30,Governance,Aggregate score for the Civil Liberties category,H7_Vaccination policy,Brunei,BRN,21.0,score,2021.0
31,Health,Prevalence of obesity,H7_Vaccination policy,Brunei,BRN,14.1,percent,2016.0
32,Environment,Combustible renewables and waste,H7_Vaccination policy,Brunei,BRN,0.0,percent of total energy,2014.0
