rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Cape Verde,CPV,58.1714,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Cape Verde,CPV,58.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Cape Verde,CPV,11526.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Cape Verde,CPV,549.1558093229199,per 1 million people,2019.0
6,Governance,Serious assault (rate),H7_Vaccination policy,Cape Verde,CPV,554.47,rate,2018.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Cape Verde,CPV,20.15,score,2020.0
9,Health,Prevalence of total cancers,H7_Vaccination policy,Cape Verde,CPV,0.005604,percent,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Cape Verde,CPV,57511.0,number,2019.0
11,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Cape Verde,CPV,3.2,percent,2018.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Cape Verde,CPV,46.0,Cases,2019.0
14,Environment,Renewable energy consumption ,H7_Vaccination policy,Cape Verde,CPV,26.5797158996811,percent of total final energy consumption,2015.0
15,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Cape Verde,CPV,0.183193,percent,2019.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Cape Verde,CPV,66.7819977,Percentage of total employment,2020.0
17,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Cape Verde,CPV,34.7787,micrograms per cubic meter,2017.0
18,Health,Prevalence of Diabetes,H7_Vaccination policy,Cape Verde,CPV,0.045175,percent,2019.0
19,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Cape Verde,CPV,3.22438,per 100 people,2019.0
20,Environment,CO2 emissions (kt),H7_Vaccination policy,Cape Verde,CPV,542.716,kt,2016.0
21,Health,Summary exposure value tobacco,H7_Vaccination policy,Cape Verde,CPV,10.81263,Rate (risk-weighted prevalence),2019.0
22,Economics,Volume of exports,H7_Vaccination policy,Cape Verde,CPV,9.178,percent change,2020.0
23,Social issues ,Net migration,H7_Vaccination policy,Cape Verde,CPV,-6709.0,net total / data are 5 year estimates,2019.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Cape Verde,CPV,12.3179998,percent of total labor force,2020.0
26,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Cape Verde,CPV,0.032915,percent,2019.0
27,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Cape Verde,CPV,53.5999985,Percentage of females of the total population,2020.0
28,Governance,Economic Freedom Score,H7_Vaccination policy,Cape Verde,CPV,7.41,score,2018.0
29,Demographics,Mobile cellular subscriptions,H7_Vaccination policy,Cape Verde,CPV,108.318,per 100 people,2019.0
30,Social issues ,Proportion of seats held by women in national parliaments (%),H7_Vaccination policy,Cape Verde,CPV,25.0,proportion,2020.0
32,Health,Prevalence of chronic kidney disease,H7_Vaccination policy,Cape Verde,CPV,0.063633,percent,2019.0
33,Health,Mortality due to COVID-19,H7_Vaccination policy,Cape Verde,CPV,110.0,"Number (cumulative total by Dec 26,2020)",2020.0
34,Social issues ,Proportion of women in managerial positions (%),H7_Vaccination policy,Cape Verde,CPV,42.52,percent,2018.0
35,Environment,"Adjusted net savings, including particulate emission damage",H7_Vaccination policy,Cape Verde,CPV,19.1927297880021,percent of GNI,2018.0
36,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,Cape Verde,CPV,38.0,score,2021.0
38,Health,Prevalence of down syndrome,H7_Vaccination policy,Cape Verde,CPV,9.12e-05,percent,2019.0
39,Health,"Prevalence of HIV, total (% of population ages 15-49)",H7_Vaccination policy,Cape Verde,CPV,0.6,percent,2019.0
42,Economics,Volume of imports,H7_Vaccination policy,Cape Verde,CPV,9.515,percent change,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H7_Vaccination policy,Cape Verde,CPV,100.0,percent of total,2017.0
45,Health,Prevalence of obesity,H7_Vaccination policy,Cape Verde,CPV,11.8,percent,2016.0
46,Health,Prevalence of Hypertensive heart disease,H7_Vaccination policy,Cape Verde,CPV,0.002,percent,2019.0
48,Health,"Immunization, DPT (% of children ages 12-23 months)",H7_Vaccination policy,Cape Verde,CPV,96.0,percent,2019.0
49,Governance,Political stability and absence of violence/terrorism estimate,H7_Vaccination policy,Cape Verde,CPV,0.8809047,score,2019.0
50,Governance,Personal Freedom Score ,H7_Vaccination policy,Cape Verde,CPV,8.09,score,2018.0
51,Governance,Human Freedom Score ,H7_Vaccination policy,Cape Verde,CPV,7.75,score,2018.0
52,Social issues ,Gini index (World Bank estimate),H7_Vaccination policy,Cape Verde,CPV,42.4,index ,2015.0
53,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Cape Verde,CPV,60.598999,Percentage of total population,2020.0
54,Environment,Access to electricity ,H7_Vaccination policy,Cape Verde,CPV,93.5859985351563,percent of population,2018.0
