rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Gabon,GAB,62.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Gabon,GAB,30.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Gabon,GAB,9400.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Gabon,GAB,25.31553513128867,per 1 million people,2019.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Gabon,GAB,37.2,score,2020.0
8,Environment,Electricity production from oil sources,H7_Vaccination policy,Gabon,GAB,10.20696142991534,percent of total,2015.0
9,Health,Prevalence of total cancers,H7_Vaccination policy,Gabon,GAB,0.00363,percent,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Gabon,GAB,21818.0,number,2019.0
11,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Gabon,GAB,1.6,percent,2018.0
12,Social issues ,Life Ladder ,H7_Vaccination policy,Gabon,GAB,4.851799964904785,score,2021.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Gabon,GAB,521.0,Cases,2019.0
14,Environment,Renewable energy consumption ,H7_Vaccination policy,Gabon,GAB,82.0078436860573,percent of total final energy consumption,2015.0
15,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Gabon,GAB,0.307428,percent,2019.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Gabon,GAB,56.8639984,Percentage of total employment,2020.0
17,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Gabon,GAB,44.38555,micrograms per cubic meter,2017.0
18,Health,Prevalence of Diabetes,H7_Vaccination policy,Gabon,GAB,0.044291,percent,2019.0
19,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Gabon,GAB,1.37306,per 100 people,2019.0
20,Environment,CO2 emissions (kt),H7_Vaccination policy,Gabon,GAB,5320.817,kt,2016.0
21,Health,Summary exposure value tobacco,H7_Vaccination policy,Gabon,GAB,12.90187,Rate (risk-weighted prevalence),2019.0
22,Economics,Volume of exports,H7_Vaccination policy,Gabon,GAB,7.99,percent change,2020.0
23,Social issues ,Net migration,H7_Vaccination policy,Gabon,GAB,16301.0,net total / data are 5 year estimates,2019.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Gabon,GAB,20.1450005,percent of total labor force,2020.0
25,Environment,"Energy imports, net ",H7_Vaccination policy,Gabon,GAB,-213.4005195308775,percent of energy use,2014.0
26,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Gabon,GAB,0.039661,percent,2019.0
27,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Gabon,GAB,43.8419991,Percentage of females of the total population,2020.0
28,Governance,Economic Freedom Score,H7_Vaccination policy,Gabon,GAB,5.86,score,2018.0
29,Demographics,Mobile cellular subscriptions,H7_Vaccination policy,Gabon,GAB,138.281,per 100 people,2019.0
30,Social issues ,Proportion of seats held by women in national parliaments (%),H7_Vaccination policy,Gabon,GAB,14.78873239,proportion,2020.0
31,Environment,Electricity production from coal sources ,H7_Vaccination policy,Gabon,GAB,0.0,percent of total,2015.0
32,Health,Prevalence of chronic kidney disease,H7_Vaccination policy,Gabon,GAB,0.050903,percent,2019.0
33,Health,Mortality due to COVID-19,H7_Vaccination policy,Gabon,GAB,64.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Environment,"Adjusted net savings, including particulate emission damage",H7_Vaccination policy,Gabon,GAB,20.3596682611344,percent of GNI,2015.0
36,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,Gabon,GAB,3.0,score,2021.0
37,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H7_Vaccination policy,Gabon,GAB,7.4,percent,2020.0
38,Health,Prevalence of down syndrome,H7_Vaccination policy,Gabon,GAB,0.000147,percent,2019.0
39,Health,"Prevalence of HIV, total (% of population ages 15-49)",H7_Vaccination policy,Gabon,GAB,3.5,percent,2019.0
42,Economics,Volume of imports,H7_Vaccination policy,Gabon,GAB,0.336,percent change,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H7_Vaccination policy,Gabon,GAB,100.0,percent of total,2017.0
45,Health,Prevalence of obesity,H7_Vaccination policy,Gabon,GAB,15.0,percent,2016.0
46,Health,Prevalence of Hypertensive heart disease,H7_Vaccination policy,Gabon,GAB,0.000861,percent,2019.0
47,Environment,Combustible renewables and waste,H7_Vaccination policy,Gabon,GAB,73.66032,percent of total energy,2014.0
