rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Iceland,ISL,99.011,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Iceland,ISL,75.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Iceland,ISL,5604.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Iceland,ISL,70758.594348944,per 1 million people,2019.0
6,Governance,Serious assault (rate),H7_Vaccination policy,Iceland,ISL,36.23,rate,2018.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Iceland,ISL,15.12,score,2020.0
8,Environment,Electricity production from oil sources,H7_Vaccination policy,Iceland,ISL,0.0212777275386989,percent of total,2015.0
9,Health,Prevalence of total cancers,H7_Vaccination policy,Iceland,ISL,0.029362,percent,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Iceland,ISL,125567.0,number,2019.0
11,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Iceland,ISL,7.0,percent,2018.0
12,Social issues ,Life Ladder ,H7_Vaccination policy,Iceland,ISL,7.553899765014648,score,2021.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Iceland,ISL,4.4,Cases,2019.0
14,Environment,Renewable energy consumption ,H7_Vaccination policy,Iceland,ISL,77.029689205553,percent of total final energy consumption,2015.0
15,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Iceland,ISL,0.115837,percent,2019.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Iceland,ISL,80.064003,Percentage of total employment,2020.0
17,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Iceland,ISL,6.481147,micrograms per cubic meter,2017.0
18,Health,Prevalence of Diabetes,H7_Vaccination policy,Iceland,ISL,0.072034,percent,2019.0
19,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Iceland,ISL,40.783,per 100 people,2019.0
20,Environment,CO2 emissions (kt),H7_Vaccination policy,Iceland,ISL,2064.521,kt,2016.0
21,Health,Summary exposure value tobacco,H7_Vaccination policy,Iceland,ISL,26.84943,Rate (risk-weighted prevalence),2019.0
22,Economics,Volume of exports,H7_Vaccination policy,Iceland,ISL,2.6,percent change,2020.0
23,Social issues ,Net migration,H7_Vaccination policy,Iceland,ISL,1900.0,net total / data are 5 year estimates,2019.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Iceland,ISL,3.22199988,percent of total labor force,2020.0
25,Environment,"Energy imports, net ",H7_Vaccination policy,Iceland,ISL,11.55755169241199,percent of energy use,2015.0
26,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Iceland,ISL,0.056667,percent,2019.0
27,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Iceland,ISL,70.6110001,Percentage of females of the total population,2020.0
28,Governance,Economic Freedom Score,H7_Vaccination policy,Iceland,ISL,7.71,score,2018.0
29,Demographics,Mobile cellular subscriptions,H7_Vaccination policy,Iceland,ISL,121.949,per 100 people,2019.0
30,Social issues ,Proportion of seats held by women in national parliaments (%),H7_Vaccination policy,Iceland,ISL,38.0952381,proportion,2020.0
31,Environment,Electricity production from coal sources ,H7_Vaccination policy,Iceland,ISL,0.0,percent of total,2015.0
32,Health,Prevalence of chronic kidney disease,H7_Vaccination policy,Iceland,ISL,0.079889,percent,2019.0
33,Health,Mortality due to COVID-19,H7_Vaccination policy,Iceland,ISL,28.0,"Number (cumulative total by Dec 26,2020)",2020.0
34,Social issues ,Proportion of women in managerial positions (%),H7_Vaccination policy,Iceland,ISL,41.46,percent,2018.0
35,Environment,"Adjusted net savings, including particulate emission damage",H7_Vaccination policy,Iceland,ISL,10.9603888578802,percent of GNI,2018.0
36,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,Iceland,ISL,37.0,score,2021.0
38,Health,Prevalence of down syndrome,H7_Vaccination policy,Iceland,ISL,0.000652,percent,2019.0
42,Economics,Volume of imports,H7_Vaccination policy,Iceland,ISL,3.283,percent change,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H7_Vaccination policy,Iceland,ISL,10.2852157949761,percent of total,2017.0
45,Health,Prevalence of obesity,H7_Vaccination policy,Iceland,ISL,21.9,percent,2016.0
46,Health,Prevalence of Hypertensive heart disease,H7_Vaccination policy,Iceland,ISL,0.0013,percent,2019.0
47,Environment,Combustible renewables and waste,H7_Vaccination policy,Iceland,ISL,0.234285,percent of total energy,2015.0
48,Health,"Immunization, DPT (% of children ages 12-23 months)",H7_Vaccination policy,Iceland,ISL,91.0,percent,2019.0
49,Governance,Political stability and absence of violence/terrorism estimate,H7_Vaccination policy,Iceland,ISL,1.655899,score,2019.0
50,Governance,Personal Freedom Score ,H7_Vaccination policy,Iceland,ISL,9.06,score,2018.0
51,Governance,Human Freedom Score ,H7_Vaccination policy,Iceland,ISL,8.39,score,2018.0
52,Social issues ,Gini index (World Bank estimate),H7_Vaccination policy,Iceland,ISL,26.8,index ,2015.0
53,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Iceland,ISL,74.7509995,Percentage of total population,2020.0
54,Environment,Access to electricity ,H7_Vaccination policy,Iceland,ISL,100.0,percent of population,2018.0
55,Governance,Rule of law estimate ,H7_Vaccination policy,Iceland,ISL,1.766924,score,2019.0
56,Environment,"Electricity production from oil, gas and coal sources",H7_Vaccination policy,Iceland,ISL,0.0212777275386989,percent of total,2015.0
59,Governance,Fragile States Index Total ,H7_Vaccination policy,Iceland,ISL,17.799999999999997,score,2020.0
60,Economics,"Central government debt, total",H7_Vaccination policy,Iceland,ISL,73.52782995610531,percent of GDP,2016.0
62,Health,Prevalence of Depressive disorders,H7_Vaccination policy,Iceland,ISL,0.035238,percent,2019.0
63,Health,"Immunization, measles (% of children ages 12-23 months)",H7_Vaccination policy,Iceland,ISL,93.0,percent,2019.0
64,Governance,Government effectiveness estimate,H7_Vaccination policy,Iceland,ISL,1.518278,score,2019.0
