rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Jordan,JOR,66.7903,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Jordan,JOR,49.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Jordan,JOR,271514.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Jordan,JOR,108.1006809352966,per 1 million people,2019.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Jordan,JOR,42.08,score,2020.0
8,Environment,Electricity production from oil sources,H7_Vaccination policy,Jordan,JOR,50.58903965499106,percent of total,2015.0
9,Health,Prevalence of total cancers,H7_Vaccination policy,Jordan,JOR,0.005894,percent,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Jordan,JOR,356046.0,number,2019.0
11,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Jordan,JOR,3.8,percent,2018.0
12,Social issues ,Life Ladder ,H7_Vaccination policy,Jordan,JOR,4.394599914550781,score,2021.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Jordan,JOR,5.5,Cases,2019.0
14,Environment,Renewable energy consumption ,H7_Vaccination policy,Jordan,JOR,3.22917004202291,percent of total final energy consumption,2015.0
15,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Jordan,JOR,0.068178,percent,2019.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Jordan,JOR,72.5999985,Percentage of total employment,2020.0
17,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Jordan,JOR,33.00608,micrograms per cubic meter,2017.0
18,Health,Prevalence of Diabetes,H7_Vaccination policy,Jordan,JOR,0.057381,percent,2019.0
19,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Jordan,JOR,4.65247,per 100 people,2019.0
20,Environment,CO2 emissions (kt),H7_Vaccination policy,Jordan,JOR,25107.95,kt,2016.0
21,Health,Summary exposure value tobacco,H7_Vaccination policy,Jordan,JOR,37.85658,Rate (risk-weighted prevalence),2019.0
22,Economics,Volume of exports,H7_Vaccination policy,Jordan,JOR,4.933,percent change,2020.0
23,Social issues ,Net migration,H7_Vaccination policy,Jordan,JOR,51099.0,net total / data are 5 year estimates,2019.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Jordan,JOR,14.6129999,percent of total labor force,2020.0
25,Environment,"Energy imports, net ",H7_Vaccination policy,Jordan,JOR,96.81229729348095,percent of energy use,2014.0
26,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Jordan,JOR,0.053733,percent,2019.0
