rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Papua New Guinea,PNG,11.2092,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Papua New Guinea,PNG,27.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Papua New Guinea,PNG,760.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",H7_Vaccination policy,Papua New Guinea,PNG,1134643540.0,US Dollar,2018.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Papua New Guinea,PNG,56.74496522319857,per 1 million people,2019.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Papua New Guinea,PNG,23.93,score,2020.0
8,Environment,CO2 emissions (kt),H7_Vaccination policy,Papua New Guinea,PNG,7535.685,kt,2016.0
9,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Papua New Guinea,PNG,158000.0,number,2019.0
11,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Papua New Guinea,PNG,35.5480003,Percentage of total employment,2020.0
12,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Papua New Guinea,PNG,0.21332,per 100 people,2019.0
13,Economics,Volume of imports,H7_Vaccination policy,Papua New Guinea,PNG,4.325,percent change,2020.0
14,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Papua New Guinea,PNG,0.433256,percent,2019.0
15,Governance,Political stability and absence of violence/terrorism estimate,H7_Vaccination policy,Papua New Guinea,PNG,-0.8261072,score,2019.0
16,Environment,Renewable energy consumption ,H7_Vaccination policy,Papua New Guinea,PNG,52.4986519522615,percent of total final energy consumption,2015.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Papua New Guinea,PNG,432.0,Cases,2019.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Papua New Guinea,PNG,1.7,percent,2018.0
19,Health,"Physicians (per 1,000 people)",H7_Vaccination policy,Papua New Guinea,PNG,0.0699,Ones,2018.0
