rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Slovenia,SVN,83.1084,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,Slovenia,SVN,60.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Slovenia,SVN,103555.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Slovenia,SVN,42538.93539392303,per 1 million people,2019.0
6,Governance,Serious assault (rate),H7_Vaccination policy,Slovenia,SVN,74.31,rate,2018.0
7,Social issues ,Press freedom score,H7_Vaccination policy,Slovenia,SVN,22.64,score,2020.0
8,Environment,CO2 emissions (kt),H7_Vaccination policy,Slovenia,SVN,12632.82,kt,2016.0
9,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Slovenia,SVN,707059.0,number,2019.0
10,Environment,Electric power consumption ,H7_Vaccination policy,Slovenia,SVN,6727.999301642111,kWh per capita,2014.0
11,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,Slovenia,SVN,61.4780006,Percentage of total employment,2020.0
12,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Slovenia,SVN,30.2088,per 100 people,2019.0
13,Economics,Volume of imports,H7_Vaccination policy,Slovenia,SVN,6.42,percent change,2020.0
14,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,Slovenia,SVN,0.169314,percent,2019.0
15,Governance,Political stability and absence of violence/terrorism estimate,H7_Vaccination policy,Slovenia,SVN,0.8167541,score,2019.0
16,Environment,Renewable energy consumption ,H7_Vaccination policy,Slovenia,SVN,20.8773961432658,percent of total final energy consumption,2015.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,Slovenia,SVN,5.4,Cases,2019.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Slovenia,SVN,6.0,percent,2018.0
19,Health,"Physicians (per 1,000 people)",H7_Vaccination policy,Slovenia,SVN,3.0861,Ones,2017.0
20,Health,Summary exposure value tobacco,H7_Vaccination policy,Slovenia,SVN,28.80806,Rate (risk-weighted prevalence),2019.0
21,Health,Prevalence of anxiety disorders,H7_Vaccination policy,Slovenia,SVN,0.040104,percent,2019.0
22,Governance,Rule of law estimate ,H7_Vaccination policy,Slovenia,SVN,1.118421,score,2019.0
23,Environment,Electricity production from oil sources,H7_Vaccination policy,Slovenia,SVN,0.1147330768711615,percent of total,2015.0
24,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Slovenia,SVN,3.80200005,percent of total labor force,2020.0
25,Environment,Fossil fuel energy consumption,H7_Vaccination policy,Slovenia,SVN,61.1142,percent of total,2015.0
26,Social issues ,Net migration,H7_Vaccination policy,Slovenia,SVN,9999.0,net total / data are 5 year estimates,2019.0
27,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Slovenia,SVN,57.8199997,Percentage of total population,2020.0
28,Health,Prevalence of total cancers,H7_Vaccination policy,Slovenia,SVN,0.031252,percent,2019.0
29,Governance,Total freedom in the world score ,H7_Vaccination policy,Slovenia,SVN,95.0,score,2021.0
30,Governance,Aggregate score for the Civil Liberties category,H7_Vaccination policy,Slovenia,SVN,56.0,score,2021.0
31,Health,Prevalence of obesity,H7_Vaccination policy,Slovenia,SVN,20.2,percent,2016.0
32,Environment,Combustible renewables and waste,H7_Vaccination policy,Slovenia,SVN,9.150438,percent of total energy,2015.0
33,Governance,Personal Freedom Score ,H7_Vaccination policy,Slovenia,SVN,8.77,score,2018.0
34,Health,Mortality due to COVID-19,H7_Vaccination policy,Slovenia,SVN,2297.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Slovenia,SVN,16.02398,micrograms per cubic meter,2017.0
36,Demographics,Mobile cellular subscriptions,H7_Vaccination policy,Slovenia,SVN,120.846,per 100 people,2019.0
37,Social issues ,Proportion of seats held by women in national parliaments (%),H7_Vaccination policy,Slovenia,SVN,27.77777778,proportion,2020.0
38,Governance,Fragile States Index Total ,H7_Vaccination policy,Slovenia,SVN,25.84648022438141,score,2020.0
39,Governance,Economic Freedom Score,H7_Vaccination policy,Slovenia,SVN,7.33,score,2018.0
41,Environment,"Energy imports, net ",H7_Vaccination policy,Slovenia,SVN,48.54314649219532,percent of energy use,2015.0
45,Health,Prevalence of chronic kidney disease,H7_Vaccination policy,Slovenia,SVN,0.130245,percent,2019.0
46,Social issues ,Gini index (World Bank estimate),H7_Vaccination policy,Slovenia,SVN,24.2,index ,2017.0
47,Environment,"Adjusted net savings, including particulate emission damage",H7_Vaccination policy,Slovenia,SVN,11.8489361847787,percent of GNI,2018.0
48,Environment,CO2 emissions (metric tons per capita),H7_Vaccination policy,Slovenia,SVN,6.117462,metric tons per capita,2016.0
49,Economics,Volume of exports,H7_Vaccination policy,Slovenia,SVN,4.888,percent change,2020.0
50,Social issues ,Proportion of women in managerial positions (%),H7_Vaccination policy,Slovenia,SVN,38.55,percent,2018.0
51,Health,Prevalence of down syndrome,H7_Vaccination policy,Slovenia,SVN,0.000126,percent,2019.0
53,Social issues ,Life Ladder ,H7_Vaccination policy,Slovenia,SVN,6.460700035095215,score,2021.0
55,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,Slovenia,SVN,39.0,score,2021.0
56,Governance,Control of corruption estimate,H7_Vaccination policy,Slovenia,SVN,0.9058987,score,2019.0
58,Environment,Electricity production from coal sources ,H7_Vaccination policy,Slovenia,SVN,29.59438482823784,percent of total,2015.0
61,Environment,Electricity production from nuclear sources ,H7_Vaccination policy,Slovenia,SVN,38.11837753931295,percent of total,2015.0
63,Environment,"Electricity production from oil, gas and coal sources",H7_Vaccination policy,Slovenia,SVN,32.43571573192954,percent of total,2015.0
65,Health,Prevalence of Depressive disorders,H7_Vaccination policy,Slovenia,SVN,0.042813,percent,2019.0
66,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H7_Vaccination policy,Slovenia,SVN,99.4910252834569,percent of total,2017.0
67,Health,"Immunization, DPT (% of children ages 12-23 months)",H7_Vaccination policy,Slovenia,SVN,95.0,percent,2019.0
69,Health,Prevalence of Hypertensive heart disease,H7_Vaccination policy,Slovenia,SVN,0.004626,percent,2019.0
70,Health,Prevalence of Diabetes,H7_Vaccination policy,Slovenia,SVN,0.089385,percent,2019.0
72,Health,"Nurses and midwives (per 1,000 people)",H7_Vaccination policy,Slovenia,SVN,9.9745,Ones,2017.0
73,Governance,Human Development Index,H7_Vaccination policy,Slovenia,SVN,0.917,index,2019.0
74,Environment,Energy use (kg of oil equivalent per capita),H7_Vaccination policy,Slovenia,SVN,3174.872584904225,kg of oil equivalent per capita,2015.0
80,Social issues ,"Intentional homicides (per 100,000 people)",H7_Vaccination policy,Slovenia,SVN,0.48126993661,"proportion, pero 100,000 people",2018.0
81,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Slovenia,SVN,52.9599991,Percentage of females of the total population,2020.0
82,Governance,Voice and accountability estimate,H7_Vaccination policy,Slovenia,SVN,1.007424,score,2019.0
84,Governance,Government effectiveness estimate,H7_Vaccination policy,Slovenia,SVN,1.081404,score,2019.0
87,Health,"Immunization, measles (% of children ages 12-23 months)",H7_Vaccination policy,Slovenia,SVN,94.0,percent,2019.0
88,Environment,Access to electricity ,H7_Vaccination policy,Slovenia,SVN,100.0,percent of population,2018.0
