rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,United States,USA,87.2661,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H7_Vaccination policy,United States,USA,67.0,score,2020.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,United States,USA,16912564.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,United States,USA,124014.1760747075,per 1 million people,2019.0
6,Governance,Serious assault (rate),H7_Vaccination policy,United States,USA,246.84,rate,2018.0
7,Social issues ,Press freedom score,H7_Vaccination policy,United States,USA,23.85,score,2020.0
8,Environment,CO2 emissions (kt),H7_Vaccination policy,United States,USA,5006302.0,kt,2016.0
9,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,United States,USA,107281000.0,number,2019.0
10,Environment,Electric power consumption ,H7_Vaccination policy,United States,USA,12997.44862887773,kWh per capita,2014.0
11,Economics,Employment in services (% of total employment) (modeled ILO estimate),H7_Vaccination policy,United States,USA,78.9830017,Percentage of total employment,2020.0
12,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,United States,USA,34.6719,per 100 people,2019.0
13,Economics,Volume of imports,H7_Vaccination policy,United States,USA,2.957,percent change,2020.0
14,Health,Prevalence of Respiratory infections and tuberculosis,H7_Vaccination policy,United States,USA,0.16579,percent,2019.0
15,Governance,Political stability and absence of violence/terrorism estimate,H7_Vaccination policy,United States,USA,0.2979858,score,2019.0
16,Environment,Renewable energy consumption ,H7_Vaccination policy,United States,USA,8.71693586705814,percent of total final energy consumption,2015.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",H7_Vaccination policy,United States,USA,3.0,Cases,2019.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,United States,USA,8.5,percent,2018.0
19,Health,"Physicians (per 1,000 people)",H7_Vaccination policy,United States,USA,2.612,Ones,2017.0
20,Health,Summary exposure value tobacco,H7_Vaccination policy,United States,USA,22.49515,Rate (risk-weighted prevalence),2019.0
21,Health,Prevalence of anxiety disorders,H7_Vaccination policy,United States,USA,0.065074,percent,2019.0
