ISO,Policy,score,rank
ALB,H7_Vaccination policy,0.1120410515917464,1
ALB,H6_Facial Coverings,0.0888935834484928,2
ALB,C6_Stay at home requirements,0.0844920744083958,3
ALB,C7_Restrictions on internal movement,0.0833304604566972,4
ALB,C8_International travel controls,0.0767409177312145,5
ALB,E2_Debt/contract relief,0.0703419969511013,6
ALB,C1_School closing,0.0657405934177151,7
ALB,H3_Contact tracing,0.0563967101757281,8
ALB,H2_Testing policy,0.0423381213080338,9
ALB,C2_Workplace closing,0.040975012858239,10
ALB,C5_Close public transport,0.038502998210354,11
ALB,E1_Income support,0.0358195491786349,12
ALB,C4_Restrictions on gatherings,0.0122685463965202,13
ALB,H1_Public information campaigns,0.0052239919692968,14
ALB,C3_Cancel public events,0.0,15
