ISO,Policy,score,rank
BGD,H7_Vaccination policy,0.1141550482667513,1
BGD,H6_Facial Coverings,0.095301326715682,2
BGD,C2_Workplace closing,0.0940561052686536,3
BGD,E2_Debt/contract relief,0.0895733348651035,4
BGD,C5_Close public transport,0.085417912339196,5
BGD,C4_Restrictions on gatherings,0.0851101809402167,6
BGD,C6_Stay at home requirements,0.0594774891104779,7
BGD,H3_Contact tracing,0.047963095850041,8
BGD,C8_International travel controls,0.0476384076613677,9
BGD,E1_Income support,0.040406389046764,10
BGD,C3_Cancel public events,0.0375717675073946,11
BGD,H2_Testing policy,0.0267749908545294,12
BGD,C1_School closing,0.0217527702952435,13
BGD,H1_Public information campaigns,0.017668019991171,14
BGD,C7_Restrictions on internal movement,0.0088037058042357,15
