ISO,Policy,score,rank
CHE,H7_Vaccination policy,0.1026871575854896,1
CHE,H6_Facial Coverings,0.089474963278943,2
CHE,C1_School closing,0.0797738488668946,3
CHE,C2_Workplace closing,0.0706523802434736,4
CHE,H2_Testing policy,0.0705514276126998,5
CHE,C6_Stay at home requirements,0.0631075749049275,6
CHE,C4_Restrictions on gatherings,0.0620207209332595,7
CHE,E1_Income support,0.0612394808603372,8
CHE,C8_International travel controls,0.0548232347690737,9
CHE,C3_Cancel public events,0.0539868961796768,10
CHE,H3_Contact tracing,0.0343775891951491,11
CHE,E2_Debt/contract relief,0.0227263968307085,12
CHE,H1_Public information campaigns,0.01719086522172,13
CHE,C7_Restrictions on internal movement,0.0017836798401627,14
CHE,C5_Close public transport,0.0,15
