ISO,Policy,score,rank
ETH,H7_Vaccination policy,0.1010057876348298,1
ETH,C6_Stay at home requirements,0.075914170797021,2
ETH,C5_Close public transport,0.0735408287047089,3
ETH,E2_Debt/contract relief,0.0650479650067223,4
ETH,C3_Cancel public events,0.0645225275234402,5
ETH,C7_Restrictions on internal movement,0.0632777204598241,6
ETH,H3_Contact tracing,0.0615504539060223,7
ETH,C8_International travel controls,0.0613959764254529,8
ETH,H2_Testing policy,0.0537738978077278,9
ETH,C1_School closing,0.0486777325037912,10
ETH,H6_Facial Coverings,0.0480854799328512,11
ETH,C4_Restrictions on gatherings,0.0425640388443588,12
ETH,H1_Public information campaigns,0.0308925613086541,13
ETH,C2_Workplace closing,0.0180948993375736,14
ETH,E1_Income support,0.0040661305614176,15
