ISO,Policy,score,rank
GAB,H7_Vaccination policy,0.1107128814751519,1
GAB,H6_Facial Coverings,0.1093378905108075,2
GAB,E1_Income support,0.077610286443096,3
GAB,H1_Public information campaigns,0.0662947762646594,4
GAB,C2_Workplace closing,0.0642923822447148,5
GAB,C1_School closing,0.0609910522747708,6
GAB,H3_Contact tracing,0.060248024225365,7
GAB,C5_Close public transport,0.0577215889111496,8
GAB,H2_Testing policy,0.0505936367520283,9
GAB,C3_Cancel public events,0.0500099881488895,10
GAB,C4_Restrictions on gatherings,0.0421352199586521,11
GAB,E2_Debt/contract relief,0.0416570480205269,12
GAB,C6_Stay at home requirements,0.0405838247569366,13
GAB,C7_Restrictions on internal movement,0.0384079632606217,14
GAB,C8_International travel controls,0.0106084063683157,15
