ISO,Policy,score,rank
GIN,H3_Contact tracing,0.0992953461277761,1
GIN,H6_Facial Coverings,0.0931513225266084,2
GIN,C8_International travel controls,0.0810983550659863,3
GIN,C1_School closing,0.0723780703898145,4
GIN,C2_Workplace closing,0.0679256901846354,5
GIN,C4_Restrictions on gatherings,0.0593468775188828,6
GIN,H7_Vaccination policy,0.0542163373662776,7
GIN,E2_Debt/contract relief,0.0488926361577989,8
GIN,E1_Income support,0.0457176709385376,9
GIN,C6_Stay at home requirements,0.0451044660090658,10
GIN,C5_Close public transport,0.0371973810834319,11
GIN,C7_Restrictions on internal movement,0.0331094579913031,12
GIN,H1_Public information campaigns,0.0232609655804323,13
GIN,H2_Testing policy,0.0228368124304508,14
GIN,C3_Cancel public events,0.0,15
