ISO,Policy,score,rank
GMB,H6_Facial Coverings,0.1008930946194083,1
GMB,H7_Vaccination policy,0.0906698679113618,2
GMB,C3_Cancel public events,0.0883789581262712,3
GMB,C2_Workplace closing,0.074945085774184,4
GMB,H2_Testing policy,0.0684237517209421,5
GMB,C7_Restrictions on internal movement,0.0667569507227515,6
GMB,C4_Restrictions on gatherings,0.0596889134198119,7
GMB,E2_Debt/contract relief,0.0538333422763534,8
GMB,C6_Stay at home requirements,0.0534959244629798,9
GMB,C5_Close public transport,0.0508699529787526,10
GMB,E1_Income support,0.0499206626252626,11
GMB,C1_School closing,0.0485731507487155,12
GMB,H3_Contact tracing,0.0416186419031979,13
GMB,C8_International travel controls,0.0317800959688568,14
GMB,H1_Public information campaigns,0.0118809807675899,15
