ISO,Policy,score,rank
HTI,H3_Contact tracing,0.0934525717571229,1
HTI,H2_Testing policy,0.0860521380951628,2
HTI,C2_Workplace closing,0.0738216843079189,3
HTI,C8_International travel controls,0.0672425196379635,4
HTI,C4_Restrictions on gatherings,0.0659039023915404,5
HTI,C6_Stay at home requirements,0.061319295223339,6
HTI,H6_Facial Coverings,0.0583888028839436,7
HTI,C1_School closing,0.0542453775517185,8
HTI,C3_Cancel public events,0.0525291775206679,9
HTI,C5_Close public transport,0.0489387103604058,10
HTI,E2_Debt/contract relief,0.043861659326048,11
HTI,H1_Public information campaigns,0.0421889194624085,12
HTI,E1_Income support,0.039758615366926,13
HTI,C7_Restrictions on internal movement,0.0249815450590428,14
HTI,H7_Vaccination policy,0.0227902719977166,15
