ISO,Policy,score,rank
KAZ,H7_Vaccination policy,0.0858323644304207,1
KAZ,H6_Facial Coverings,0.0753660461519578,2
KAZ,C8_International travel controls,0.0724647020177753,3
KAZ,H3_Contact tracing,0.0691151408274461,4
KAZ,E1_Income support,0.0658726631205859,5
KAZ,C5_Close public transport,0.0635633741580573,6
KAZ,H2_Testing policy,0.0592222584336977,7
KAZ,C7_Restrictions on internal movement,0.0533433154930726,8
KAZ,C1_School closing,0.0513555466400752,9
KAZ,C6_Stay at home requirements,0.050580615626914,10
KAZ,E2_Debt/contract relief,0.0479673300564682,11
KAZ,C2_Workplace closing,0.0460580173110397,12
KAZ,C3_Cancel public events,0.0307694971338176,13
KAZ,H1_Public information campaigns,0.0291638533332383,14
KAZ,C4_Restrictions on gatherings,0.0,15
