ISO,Policy,score,rank
LBY,H7_Vaccination policy,0.0976171253381233,1
LBY,H6_Facial Coverings,0.0970331837354495,2
LBY,H3_Contact tracing,0.0933027825682261,3
LBY,C5_Close public transport,0.0783673672072338,4
LBY,C1_School closing,0.061093117712806,5
LBY,C2_Workplace closing,0.0600124862006549,6
LBY,C8_International travel controls,0.0586977186142843,7
LBY,C7_Restrictions on internal movement,0.0516321771097875,8
LBY,H1_Public information campaigns,0.0373580652980152,9
LBY,E1_Income support,0.0364606740352543,10
LBY,E2_Debt/contract relief,0.0345081648973362,11
LBY,H2_Testing policy,0.0306289495545608,12
LBY,C6_Stay at home requirements,0.0268116613095389,13
LBY,C4_Restrictions on gatherings,0.0169376612522805,14
LBY,C3_Cancel public events,0.0,15
