ISO,Policy,score,rank
MEX,H7_Vaccination policy,0.07463835102005813,1
MEX,E1_Income support,0.0718790969533321,2
MEX,H6_Facial Coverings,0.07118835172184512,3
MEX,C8_International travel controls,0.06778163053410997,4
MEX,C6_Stay at home requirements,0.06670866749998018,5
MEX,H3_Contact tracing,0.06395147403296163,6
MEX,C4_Restrictions on gatherings,0.0629450057465939,7
MEX,E2_Debt/contract relief,0.05934103702455404,8
MEX,C2_Workplace closing,0.05314205751118889,9
MEX,H2_Testing policy,0.05082223128647992,10
MEX,C1_School closing,0.04444642914354861,11
MEX,H1_Public information campaigns,0.04377821094338514,12
MEX,C7_Restrictions on internal movement,0.034444001871858955,13
MEX,C5_Close public transport,0.02880382198340855,14
MEX,C3_Cancel public events,0.0,15
