ISO,Policy,score,rank
MLI,H2_Testing policy,0.1345327798967343,1
MLI,H7_Vaccination policy,0.0859653288227091,2
MLI,C1_School closing,0.0856894766874978,3
MLI,C3_Cancel public events,0.07240474223355,4
MLI,H3_Contact tracing,0.0632271301893686,5
MLI,C8_International travel controls,0.0610012505637412,6
MLI,C2_Workplace closing,0.0558175646407975,7
MLI,E1_Income support,0.0546754085009529,8
MLI,H6_Facial Coverings,0.0534174775387502,9
MLI,C6_Stay at home requirements,0.0476573722897829,10
MLI,C7_Restrictions on internal movement,0.0407353641238773,11
MLI,E2_Debt/contract relief,0.0377351486166343,12
MLI,H1_Public information campaigns,0.0217589269120049,13
MLI,C5_Close public transport,0.0181668359380375,14
MLI,C4_Restrictions on gatherings,0.0,15
