ISO,Policy,score,rank
MWI,H7_Vaccination policy,0.0800278014439754,1
MWI,C5_Close public transport,0.0776376182058169,2
MWI,C1_School closing,0.0745044640262404,3
MWI,C2_Workplace closing,0.0665840855214701,4
MWI,C3_Cancel public events,0.0608483626305733,5
MWI,H2_Testing policy,0.0565838402676602,6
MWI,E2_Debt/contract relief,0.0546723192620855,7
MWI,E1_Income support,0.0539465501383521,8
MWI,H6_Facial Coverings,0.0522296695884841,9
MWI,C4_Restrictions on gatherings,0.0494860994746324,10
MWI,C6_Stay at home requirements,0.0458975234191654,11
MWI,C8_International travel controls,0.0420841758485558,12
MWI,H3_Contact tracing,0.0382085981758625,13
MWI,H1_Public information campaigns,0.0378637422647752,14
MWI,C7_Restrictions on internal movement,0.0,15
