ISO,Policy,score,rank
NLD,H7_Vaccination policy,0.0860847629111712,1
NLD,C2_Workplace closing,0.0711216714902833,2
NLD,C1_School closing,0.0707836181575658,3
NLD,E2_Debt/contract relief,0.0679861309850005,4
NLD,H6_Facial Coverings,0.0643918271403795,5
NLD,H3_Contact tracing,0.0572296435659978,6
NLD,C6_Stay at home requirements,0.0558142879419931,7
NLD,C4_Restrictions on gatherings,0.0549826062914423,8
NLD,C7_Restrictions on internal movement,0.054163161033987,9
NLD,C3_Cancel public events,0.0519746994308351,10
NLD,C8_International travel controls,0.0450601117218684,11
NLD,E1_Income support,0.0370412882711634,12
NLD,H1_Public information campaigns,0.0243657491270319,13
NLD,C5_Close public transport,0.0047563838958201,14
NLD,H2_Testing policy,0.0,15
