ISO,Policy,score,rank
ROU,H7_Vaccination policy,0.11855080325993585,1
ROU,H3_Contact tracing,0.10981644838911547,2
ROU,C7_Restrictions on internal movement,0.07472423832915373,3
ROU,H6_Facial Coverings,0.06871456627110284,4
ROU,E2_Debt/contract relief,0.06754131999277206,5
ROU,C8_International travel controls,0.06440530801721618,6
ROU,C2_Workplace closing,0.0572807147073021,7
ROU,H2_Testing policy,0.05725486195397087,8
ROU,C4_Restrictions on gatherings,0.04777081570146097,9
ROU,C3_Cancel public events,0.03962568666719503,10
ROU,C1_School closing,0.03805985874692164,11
ROU,C6_Stay at home requirements,0.03710317337691865,12
ROU,C5_Close public transport,0.03668221612505885,13
ROU,H1_Public information campaigns,0.021880656749523667,14
ROU,E1_Income support,0.0,15
