ISO,Policy,score,rank
SVN,H7_Vaccination policy,0.1046993178903879,1
SVN,H6_Facial Coverings,0.0972955240613254,2
SVN,C6_Stay at home requirements,0.0827440356282667,3
SVN,C5_Close public transport,0.0762439904995554,4
SVN,C1_School closing,0.0691197504691794,5
SVN,C2_Workplace closing,0.0667986839235931,6
SVN,C7_Restrictions on internal movement,0.0667209710014571,7
SVN,E1_Income support,0.0520089974582042,8
SVN,C4_Restrictions on gatherings,0.046451442967658,9
SVN,C3_Cancel public events,0.0458172966491938,10
SVN,E2_Debt/contract relief,0.043753513300605,11
SVN,H3_Contact tracing,0.0365279221450694,12
SVN,H2_Testing policy,0.0322113899765819,13
SVN,C8_International travel controls,0.0302332798076308,14
SVN,H1_Public information campaigns,0.0270875758591481,15
