ISO,Policy,score,rank
THA,H6_Facial Coverings,0.0967774256264653,1
THA,C1_School closing,0.0864070235135982,2
THA,H1_Public information campaigns,0.0819272537146791,3
THA,H2_Testing policy,0.0728810145348007,4
THA,H7_Vaccination policy,0.0713892093855425,5
THA,C4_Restrictions on gatherings,0.069425342446259,6
THA,C8_International travel controls,0.0648617414583244,7
THA,C7_Restrictions on internal movement,0.0604737466035197,8
THA,E1_Income support,0.0569497036878804,9
THA,E2_Debt/contract relief,0.0475584039751232,10
THA,C2_Workplace closing,0.0429279509420071,11
THA,H3_Contact tracing,0.041701025612647,12
THA,C3_Cancel public events,0.0280444869478607,13
THA,C6_Stay at home requirements,0.0271124597156021,14
THA,C5_Close public transport,0.0209543838011688,15
