ISO,Policy,score,rank
TTO,H7_Vaccination policy,0.1346499371818941,1
TTO,H6_Facial Coverings,0.0889654742088003,2
TTO,C2_Workplace closing,0.0770796512648843,3
TTO,C6_Stay at home requirements,0.0674050138573719,4
TTO,C4_Restrictions on gatherings,0.0629381158155224,5
TTO,E2_Debt/contract relief,0.0604474424201448,6
TTO,C1_School closing,0.0602614599400396,7
TTO,E1_Income support,0.0592391368874681,8
TTO,C7_Restrictions on internal movement,0.0573570219162175,9
TTO,H2_Testing policy,0.0545059184127433,10
TTO,C3_Cancel public events,0.0429980593255404,11
TTO,H1_Public information campaigns,0.0178980972992457,12
TTO,C8_International travel controls,0.014990177629959,13
TTO,H3_Contact tracing,0.0110354899044733,14
TTO,C5_Close public transport,0.0,15
