ISO,Policy,score,rank
TUN,H6_Facial Coverings,0.0824679013437248,1
TUN,C5_Close public transport,0.0742665107938868,2
TUN,H7_Vaccination policy,0.0740653543949249,3
TUN,C6_Stay at home requirements,0.0734188208490884,4
TUN,C8_International travel controls,0.072712656443476,5
TUN,C7_Restrictions on internal movement,0.071378228010846,6
TUN,C4_Restrictions on gatherings,0.0658632289748953,7
TUN,C1_School closing,0.0573535662146773,8
TUN,C3_Cancel public events,0.0566354909751454,9
TUN,H2_Testing policy,0.0516888274808336,10
TUN,H3_Contact tracing,0.0504762802176206,11
TUN,E1_Income support,0.0422900969108147,12
TUN,C2_Workplace closing,0.0415335354271713,13
TUN,H1_Public information campaigns,0.0399643158042358,14
TUN,E2_Debt/contract relief,0.021327260200767,15
