ISO,Policy,score,rank
UKR,H7_Vaccination policy,0.0951595132023449,1
UKR,H2_Testing policy,0.0915549022385448,2
UKR,C5_Close public transport,0.087598355595138,3
UKR,C4_Restrictions on gatherings,0.0872751528614627,4
UKR,C2_Workplace closing,0.0848135568129423,5
UKR,C7_Restrictions on internal movement,0.0675254630721988,6
UKR,C8_International travel controls,0.0637500388349888,7
UKR,H6_Facial Coverings,0.059825942446802,8
UKR,H3_Contact tracing,0.0524677749173174,9
UKR,C3_Cancel public events,0.0442776790303075,10
UKR,E2_Debt/contract relief,0.0352704936511056,11
UKR,H1_Public information campaigns,0.0236581647292926,12
UKR,E1_Income support,0.0091762844392584,13
UKR,C6_Stay at home requirements,0.0054771546268379,14
UKR,C1_School closing,0.0,15
