ISO,Policy,score,rank
YEM,H7_Vaccination policy,0.0966071764387134,1
YEM,H2_Testing policy,0.090382164891337,2
YEM,C2_Workplace closing,0.0890912079340068,3
YEM,C3_Cancel public events,0.0787816389868586,4
YEM,C8_International travel controls,0.0712330013769606,5
YEM,C1_School closing,0.0689971248378884,6
YEM,C7_Restrictions on internal movement,0.0552359029211213,7
YEM,H3_Contact tracing,0.0544386646923245,8
YEM,C6_Stay at home requirements,0.0513520903251363,9
YEM,E1_Income support,0.0511061479066422,10
YEM,E2_Debt/contract relief,0.0499413469586911,11
YEM,H1_Public information campaigns,0.0282122665755107,12
YEM,C5_Close public transport,0.0242573033958614,13
YEM,H6_Facial Coverings,0.0083083283226108,14
YEM,C4_Restrictions on gatherings,0.0010602237519473,15
