ISO,Policy,score,rank
ZMB,C3_Cancel public events,0.0971584858296412,1
ZMB,C7_Restrictions on internal movement,0.085782362054234,2
ZMB,H7_Vaccination policy,0.0839538926490227,3
ZMB,C4_Restrictions on gatherings,0.0732370848885772,4
ZMB,C1_School closing,0.0716782127070464,5
ZMB,H2_Testing policy,0.0656581006565088,6
ZMB,C6_Stay at home requirements,0.0629816049923917,7
ZMB,C8_International travel controls,0.0531088012686229,8
ZMB,H6_Facial Coverings,0.0493553742195937,9
ZMB,C2_Workplace closing,0.0462403616348643,10
ZMB,H1_Public information campaigns,0.0407278967052552,11
ZMB,E2_Debt/contract relief,0.0369080176964899,12
ZMB,H3_Contact tracing,0.0355602598819792,13
ZMB,E1_Income support,0.0213050147593612,14
ZMB,C5_Close public transport,0.0089902166453186,15
